datetime,fromNode,pm10Standard,pm25Standard,pm100Standard,pm10Environmental,pm25Environmental,pm100Environmental,rxSnr,rxRssi,rxTime,hopStart,hopLimit
2025-03-06 18:57:40.377787,0x433acb14,,,,,,,3.25,-103,,3,3
2025-03-06 18:58:40.708725,0x433acb14,,,,,,,3.25,-103,,3,3
2025-03-06 18:59:40.125633,0x433acb14,,,1,,,1,3.25,-102,,3,3
2025-03-06 19:00:41.070517,0x433acb14,,,,,,,3.5,-103,,3,3
2025-03-06 19:01:40.752736,0x433acb14,,,,,,,3.0,-102,,3,3
2025-03-06 19:02:40.959692,0x433acb14,,,,,,,4.0,-102,,3,3
2025-03-06 19:03:40.997995,0x433acb14,,,,,,,3.25,-103,,3,3
2025-03-06 19:04:42.513894,0x433acb14,,,2,,,2,3.0,-102,,3,3
2025-03-06 19:05:42.722805,0x433acb14,,1,1,,1,1,3.5,-102,,3,3
2025-03-06 19:06:42.463759,0x433acb14,,,3,,,3,3.0,-102,,3,3
2025-03-06 19:07:41.913264,0x433acb14,,,,,,,3.5,-103,,3,3
2025-03-06 19:08:42.146117,0x433acb14,,,,,,,3.25,-103,,3,3
2025-03-06 19:09:43.139473,0x433acb14,,,,,,,2.75,-103,,3,3
2025-03-06 19:10:42.648990,0x433acb14,,,1,,,1,3.5,-102,,3,3
2025-03-06 19:11:43.343182,0x433acb14,,,,,,,4.0,-102,,3,3
2025-03-06 19:12:43.811314,0x433acb14,,,,,,,3.25,-103,,3,3
2025-03-06 19:13:44.927460,0x433acb14,,,,,,,3.5,-102,,3,3
2025-03-06 19:14:43.755265,0x433acb14,,,,,,,3.0,-102,,3,3
2025-03-06 19:15:43.791381,0x433acb14,,,,,,,3.0,-102,,3,3
2025-03-06 19:16:44.498613,0x433acb14,,,,,,,2.75,-102,,3,3
2025-03-06 19:17:44.235625,0x433acb14,,,,,,,3.25,-101,,3,3
2025-03-06 19:18:45.472075,0x433acb14,,,,,,,3.25,-102,,3,3
2025-03-06 19:19:44.687616,0x433acb14,,,,,,,3.0,-102,,3,3
2025-03-06 19:20:46.163532,0x433acb14,,,,,,,3.75,-102,,3,3
2025-03-06 19:21:45.152606,0x433acb14,,,,,,,3.25,-103,,3,3
2025-03-06 19:22:46.158045,0x433acb14,,,,,,,2.5,-102,,3,3
2025-03-06 19:23:46.377763,0x433acb14,,,,,,,3.0,-102,,3,3
2025-03-06 19:24:45.893795,0x433acb14,,,4,,,4,3.0,-102,,3,3
2025-03-06 19:25:47.641808,0x433acb14,,,,,,,3.5,-103,,3,3
2025-03-06 19:26:47.388160,0x433acb14,,,,,,,3.5,-102,,3,3
2025-03-06 19:27:46.609885,0x433acb14,,,,,,,2.75,-102,,3,3
2025-03-06 19:28:48.090951,0x433acb14,,,,,,,3.0,-102,,3,3
2025-03-06 19:29:48.148095,0x433acb14,,,,,,,3.0,-101,,3,3
2025-03-06 19:30:47.983318,0x433acb14,,,,,,,3.25,-102,,3,3
2025-03-06 19:31:50.040049,0x433acb14,,,,,,,3.0,-102,,3,3
2025-03-06 19:32:48.625176,0x433acb14,,,,,,,2.75,-102,,3,3
2025-03-06 19:33:47.969211,0x433acb14,,,4,,,4,3.25,-102,,3,3
2025-03-06 19:34:48.157383,0x433acb14,,,,,,,2.5,-103,,3,3
2025-03-06 19:35:49.852510,0x433acb14,,,4,,,4,3.25,-103,,3,3
2025-03-06 19:36:49.896704,0x433acb14,,,,,,,3.0,-103,,3,3
2025-03-06 19:37:48.852681,0x433acb14,,,,,,,2.75,-103,,3,3
2025-03-06 19:38:50.012751,0x433acb14,,,3,,,3,3.25,-102,,3,3
2025-03-06 19:39:49.522616,0x433acb14,,,,,,,3.0,-103,,3,3
2025-03-06 19:40:51.501068,0x433acb14,,,,,,,3.0,-103,,3,3
2025-03-06 19:41:50.662225,0x433acb14,,,,,,,3.0,-102,,3,3
2025-03-06 19:42:50.345374,0x433acb14,,,,,,,2.75,-103,,3,3
2025-03-06 19:43:50.487489,0x433acb14,,,,,,,3.25,-103,,3,3
2025-03-06 19:44:51.282661,0x433acb14,,,2,,,2,2.75,-102,,3,3
2025-03-06 19:45:51.285453,0x433acb14,,,,,,,2.75,-103,,3,3
2025-03-06 19:46:52.453466,0x433acb14,,,,,,,2.75,-103,,3,3
2025-03-06 19:47:51.188524,0x433acb14,,,,,,,3.0,-103,,3,3
2025-03-06 19:48:51.417765,0x433acb14,,,,,,,2.75,-103,,3,3
2025-03-06 19:49:53.463694,0x433acb14,,,,,,,3.25,-103,,3,3
2025-03-06 19:50:51.857033,0x433acb14,,,,,,,3.0,-103,,3,3
2025-03-06 19:51:52.088639,0x433acb14,,,,,,,3.0,-103,,3,3
2025-03-06 19:52:53.184049,0x433acb14,,,,,,,3.0,-102,,3,3
2025-03-06 19:53:52.785053,0x433acb14,,,1,,,1,2.75,-103,,3,3
2025-03-06 19:54:52.826131,0x433acb14,,,1,,,1,2.75,-103,,3,3
2025-03-06 19:55:53.872224,0x433acb14,,,,,,,3.0,-103,,3,3
2025-03-06 19:56:53.804309,0x433acb14,,,,,,,2.5,-103,,3,3
2025-03-06 19:57:54.698496,0x433acb14,,,,,,,3.0,-103,,3,3
2025-03-06 19:58:55.307385,0x433acb14,,,,,,,2.75,-103,,3,3
2025-03-06 19:59:54.902409,0x433acb14,,,1,,,1,2.75,-103,,3,3
2025-03-06 20:00:54.970588,0x433acb14,,,,,,,2.75,-103,,3,3
2025-03-06 20:01:56.064579,0x433acb14,,,,,,,2.5,-102,,3,3
2025-03-06 20:02:56.195732,0x433acb14,,,2,,,2,3.75,-103,,3,3
2025-03-06 20:03:55.799621,0x433acb14,,,2,,,2,-12.5,-102,,3,3
2025-03-06 20:04:57.955539,0x433acb14,,,,,,,-12.75,-102,,3,3
2025-03-06 20:05:55.422142,0x433acb14,,1,1,,1,1,-12.75,-102,,3,3
2025-03-06 20:06:56.150546,0x433acb14,,,,,,,-12.5,-102,,3,3
2025-03-06 20:07:57.648833,0x433acb14,,,,,,,3.0,-103,,3,3
2025-03-06 20:08:57.806892,0x433acb14,,,1,,,1,-12.75,-102,,3,3
2025-03-06 20:09:57.412810,0x433acb14,,,,,,,-13.25,-103,,3,3
2025-03-06 20:10:57.105675,0x433acb14,,,,,,,-13.25,-103,,3,3
2025-03-06 20:11:57.778712,0x433acb14,,,,,,,3.5,-103,,3,3
2025-03-06 20:12:57.804759,0x433acb14,,,,,,,-13.0,-103,,3,3
2025-03-06 20:13:58.607745,0x433acb14,,1,1,,1,1,-12.75,-102,,3,3
2025-03-06 20:15:00.122845,0x433acb14,,,,,,,-12.75,-103,,3,3
2025-03-06 20:15:57.754963,0x433acb14,,,,,,,-12.75,-102,,3,3
2025-03-06 20:16:59.740982,0x433acb14,,,,,,,-12.75,-102,,3,3
2025-03-06 20:17:58.102744,0x433acb14,,,,,,,3.5,-102,,3,3
2025-03-06 20:18:59.361909,0x433acb14,,,,,,,3.5,-103,,3,3
2025-03-06 20:20:01.838868,0x433acb14,,1,3,,1,3,-13.0,-102,,3,3
2025-03-06 20:20:59.948525,0x433acb14,1,1,3,1,1,3,3.75,-102,,3,3
2025-03-06 20:21:59.078037,0x433acb14,,,1,,,1,3.25,-103,,3,3
2025-03-06 20:22:59.273001,0x433acb14,,,,,,,2.25,-103,,3,3
2025-03-06 20:23:59.795121,0x433acb14,,,,,,,3.0,-103,,3,3
2025-03-06 20:24:59.821979,0x433acb14,,,3,,,3,3.5,-102,,3,3
2025-03-06 20:26:02.363142,0x433acb14,,,,,,,3.0,-103,,3,3
2025-03-06 20:27:00.191191,0x433acb14,,,,,,,2.75,-103,,3,3
2025-03-06 20:28:00.421089,0x433acb14,,,,,,,3.0,-102,,3,3
2025-03-06 20:29:01.492022,0x433acb14,,,,,,,3.25,-101,,3,3
2025-03-06 20:30:02.665082,0x433acb14,1,8,19,1,8,19,2.75,-103,,3,3
2025-03-06 20:31:02.040123,0x433acb14,,,,,,,2.5,-103,,3,3
2025-03-06 20:32:02.034216,0x433acb14,,,,,,,2.75,-103,,3,3
2025-03-06 20:33:02.289231,0x433acb14,,,,,,,3.5,-103,,3,3
2025-03-06 20:34:02.578405,0x433acb14,,,,,,,3.25,-103,,3,3
2025-03-06 20:35:02.042597,0x433acb14,,,,,,,2.75,-102,,3,3
2025-03-06 20:36:03.161434,0x433acb14,,,1,,,1,3.25,-102,,3,3
2025-03-06 20:37:02.538718,0x433acb14,,,3,,,3,3.25,-102,,3,3
2025-03-06 20:38:03.000565,0x433acb14,,,1,,,1,3.25,-102,,3,3
2025-03-06 20:39:03.484621,0x433acb14,,,,,,,3.5,-102,,3,3
2025-03-06 20:40:05.561828,0x433acb14,,,1,,,1,3.5,-102,,3,3
2025-03-06 20:41:03.546532,0x433acb14,2,3,4,2,3,4,3.5,-102,,3,3
2025-03-06 20:42:03.652570,0x433acb14,,,,,,,3.5,-101,,3,3
2025-03-06 20:43:04.019558,0x433acb14,,,1,,,1,3.75,-102,,3,3
2025-03-06 20:44:05.195683,0x433acb14,,,,,,,3.75,-103,,3,3
2025-03-06 20:45:06.340739,0x433acb14,,,,,,,3.75,-102,,3,3
