datetime,fromNode,batteryLevel,voltage,channelUtilization,airUtilTx,rxSnr,rxRssi,rxTime,hopStart,hopLimit
2025-03-06 18:57:55.669036,0x43590ff4,100,4.197,3.7233334,1.9693056,,,,,5
2025-03-06 18:58:55.787597,0x43590ff4,101,4.208,3.7233334,1.9693056,,,,,5
2025-03-06 18:59:55.884123,0x43590ff4,101,4.211,6.661667,1.9738333,,,,,5
2025-03-06 19:00:30.793309,0x433b0b38,98,4.17,7.5099998,1.5307778,4.0,-102,,5,4
2025-03-06 19:00:55.860149,0x43590ff4,101,4.249,7.813333,2.0212777,,,,,5
2025-03-06 19:01:41.396111,0x433acb14,91,4.067,,2.3278887,3.5,-102,,3,3
2025-03-06 19:01:55.956272,0x43590ff4,101,4.247,5.5866666,2.0203888,,,,5,5
2025-03-06 19:02:56.100433,0x43590ff4,101,4.247,4.7083335,2.0195,,,,,5
2025-03-06 19:03:55.987539,0x43590ff4,101,4.241,3.7233334,2.0195,,,,,5
2025-03-06 19:04:56.133098,0x43590ff4,101,4.219,6.375,2.0005834,,,,,5
2025-03-06 19:05:56.041408,0x43590ff4,101,4.239,3.9133332,1.9695556,,,,,5
2025-03-06 19:06:27.987331,0x433b0b38,99,4.185,3.9133332,1.5848055,-18.25,-126,,5,5
2025-03-06 19:06:56.238253,0x43590ff4,101,4.235,5.7999997,1.9506389,,,,,5
2025-03-06 19:07:42.669097,0x433acb14,90,4.06,0.7266667,2.3562222,3.25,-103,,3,3
2025-03-06 19:07:56.263477,0x43590ff4,101,4.232,5.693333,1.9686667,,,,,5
2025-03-06 19:08:56.209001,0x43590ff4,101,4.235,3.7233334,1.9308335,,,,,5
2025-03-06 19:09:56.198316,0x43590ff4,101,4.212,5.42,1.9618611,,,,,5
2025-03-06 19:10:56.337413,0x43590ff4,101,4.219,3.83,1.9239999,,,,,5
2025-03-06 19:11:56.377792,0x43590ff4,101,4.236,3.7233334,1.9239999,,,,,5
2025-03-06 19:12:28.200876,0x433b0b38,98,4.171,3.7233334,1.6079999,-20.0,-127,,5,5
2025-03-06 19:12:56.341942,0x43590ff4,100,4.199,7.813333,1.9118888,,,,,5
2025-03-06 19:13:43.675715,0x433acb14,90,4.061,,2.3251665,3.5,-102,,3,3
2025-03-06 19:13:56.519328,0x43590ff4,101,4.223,5.5866666,1.8988888,,,,,5
2025-03-06 19:14:56.499948,0x43590ff4,101,4.205,5.42,1.87175,,,,,5
2025-03-06 19:15:56.575720,0x43590ff4,101,4.218,4.858333,1.870861,,,,,5
