datetime,fromNode,temperature,relativeHumidity,barometricPressure,gasResistance,iaq,windDirection,windSpeed,rxSnr,rxRssi,rxTime,hopStart,hopLimit
2025-03-06 18:57:39.885929,0x433acb14,9.445877,65.80677,996.642,512.0164,162,,,2.75,-102,,3,3
2025-03-06 18:58:40.116702,0x433acb14,9.430526,65.64213,996.64404,516.3289,162,,,2.75,-102,,3,3
2025-03-06 18:59:41.542981,0x433acb14,9.371678,65.7085,996.6302,521.9238,161,,,3.25,-102,,3,3
2025-03-06 19:00:40.576848,0x433acb14,9.348651,65.64654,996.62427,533.4854,161,,,3.0,-102,,3,3
2025-03-06 19:01:42.151356,0x433acb14,9.335857,65.60962,996.6575,542.4985,159,,,3.25,-102,,3,3
2025-03-06 19:02:42.076062,0x433acb14,9.362969,65.460884,996.6795,555.91565,158,,,3.75,-102,,3,3
2025-03-06 19:03:42.201617,0x433acb14,9.38703,65.24341,996.7065,575.8545,157,,,3.5,-103,,3,3
2025-03-06 19:04:41.826230,0x433acb14,9.376796,65.00965,996.6924,597.27686,155,,,3.0,-102,,3,3
2025-03-06 19:05:41.846841,0x433acb14,9.443318,64.53584,996.6911,625.53394,153,,,2.5,-103,,3,3
2025-03-06 19:06:41.963839,0x433acb14,9.550779,64.19551,996.7294,650.89343,151,,,3.0,-103,,3,3
2025-03-06 19:07:43.422324,0x433acb14,9.601951,64.28801,996.7233,670.30383,149,,,2.75,-103,,3,3
2025-03-06 19:08:43.183192,0x433acb14,9.650564,64.1754,996.7513,691.616,148,,,2.75,-102,,3,3
2025-03-06 19:09:44.907366,0x433acb14,9.64033,64.216324,996.73047,704.6245,146,,,3.75,-102,,3,3
2025-03-06 19:10:43.564149,0x433acb14,9.596834,63.98501,996.7796,714.32794,146,,,3.25,-103,,3,3
2025-03-06 19:11:44.348294,0x433acb14,9.568689,63.919865,996.80316,731.3727,145,,,3.25,-101,,3,3
2025-03-06 19:12:43.353637,0x433acb14,9.558455,63.97171,996.8175,742.64935,144,,,3.25,-103,,3,3
2025-03-06 19:13:44.430594,0x433acb14,9.537986,63.947083,996.78076,753.76886,143,,,3.5,-102,,3,3
2025-03-06 19:14:45.226549,0x433acb14,9.540168,63.89624,996.83905,773.19586,142,,,3.0,-102,,3,3
2025-03-06 19:15:44.549745,0x433acb14,9.540545,63.9385,996.87195,783.0627,142,,,3.5,-102,,3,3
2025-03-06 19:16:45.350127,0x433acb14,9.535428,63.8649,996.89136,793.1845,141,,,3.0,-103,,3,3
2025-03-06 19:17:45.203922,0x433acb14,9.520076,63.82426,996.89014,806.4516,140,,,3.75,-102,,3,3
2025-03-06 19:18:44.745421,0x433acb14,9.545662,63.46676,996.9238,824.17584,139,,,3.25,-102,,3,3
2025-03-06 19:19:47.106964,0x433acb14,9.599392,63.381863,996.9538,838.5093,138,,,2.75,-103,,3,3
2025-03-06 19:20:45.212879,0x433acb14,9.65824,63.129692,996.94434,852.27277,137,,,3.75,-101,,3,3
2025-03-06 19:21:46.048889,0x433acb14,9.627537,62.92822,996.9569,873.7864,137,,,3.25,-102,,3,3
2025-03-06 19:22:45.665730,0x433acb14,9.599392,62.997482,996.9988,880.6262,136,,,2.5,-102,,3,3
2025-03-06 19:23:47.347024,0x433acb14,9.571248,62.818176,997.0026,902.40643,135,,,3.25,-102,,3,3
2025-03-06 19:24:47.326181,0x433acb14,9.517517,62.893093,997.0208,924.02466,134,,,2.75,-102,,3,3
2025-03-06 19:25:46.373055,0x433acb14,9.515629,62.811382,997.04614,939.4573,133,,,2.5,-103,,3,3
2025-03-06 19:26:46.592038,0x433acb14,9.540545,62.774223,997.09357,958.8068,132,,,3.25,-102,,3,3
