datetime,fromNode,pm10Standard,pm25Standard,pm100Standard,pm10Environmental,pm25Environmental,pm100Environmental,rxSnr,rxRssi,rxTime,hopStart,hopLimit
2024-12-24 15:46:07.389121,0x433acb14,,1,1,,1,1,6.25,-77,,3,2
2024-12-24 15:46:29.739435,0x433acb14,,,,,,,6.25,-78,,3,2
2024-12-24 15:47:30.510920,0x433acb14,,,,,,,5.25,-80,,3,2
2024-12-24 15:48:32.078995,0x433acb14,,,3,,,3,5.75,-81,,3,2
2024-12-24 15:49:31.155084,0x433acb14,,,,,,,5.5,-81,,3,2
2024-12-24 15:50:31.461268,0x433acb14,,,,,,,5.25,-80,,3,2
2024-12-24 15:51:30.942840,0x433acb14,,,,,,,6.75,-80,,3,2
2024-12-24 15:52:32.134959,0x433acb14,,,5,,,5,5.5,-80,,3,2
2024-12-24 15:53:32.429292,0x433acb14,,,,,,,5.25,-80,,3,2
2024-12-24 15:54:32.194929,0x433acb14,,,,,,,5.25,-83,,3,2
2024-12-24 15:55:32.511216,0x433acb14,,,,,,,5.25,-81,,3,2
2024-12-24 15:56:34.373136,0x433acb14,,,,,,,5.5,-81,,3,2
2024-12-24 15:56:40.876269,0x336918e8,,,,,,,5.25,-80,,5,2
2024-12-24 15:57:32.270929,0x433acb14,,,,,,,5.25,-81,,3,2
2024-12-24 15:58:32.701326,0x433acb14,,,,,,,5.25,-81,,3,2
2024-12-24 15:58:39.398638,0x336918e8,,,,,,,5.25,-81,,5,3
2024-12-24 15:59:32.674228,0x433acb14,,,,,,,6.75,-80,,3,2
2024-12-24 16:00:33.046076,0x433acb14,,,,,,,6.0,-80,,3,2
2024-12-24 16:01:33.207241,0x433acb14,,,,,,,5.25,-81,,3,2
2024-12-24 16:02:34.233415,0x433acb14,,,,,,,5.25,-81,,3,2
2024-12-24 16:03:34.164022,0x433acb14,,,,,,,5.5,-81,,3,2
2024-12-24 16:04:34.421532,0x433acb14,,,,,,,4.75,-81,,3,2
2024-12-24 16:05:34.093210,0x433acb14,,,,,,,4.75,-82,,3,2
2024-12-24 16:06:34.522781,0x433acb14,,,,,,,5.25,-82,,3,2
2024-12-24 16:06:41.013851,0x336918e8,,,,,,,4.5,-85,,5,2
2024-12-24 16:07:34.799896,0x433acb14,,,,,,,6.0,-83,,3,2
2024-12-24 16:08:37.964325,0x433acb14,,,,,,,6.0,-81,,3,2
2024-12-24 16:08:43.434322,0x336918e8,,,,,,,5.0,-81,,5,3
2024-12-24 16:09:35.521739,0x433acb14,,,,,,,4.75,-81,,3,2
2024-12-24 16:10:35.267285,0x433acb14,,,,,,,5.0,-81,,3,2
2024-12-24 16:10:47.493021,0x336918e8,,,,,,,5.25,-81,,5,2
2024-12-24 16:11:35.558895,0x433acb14,,,,,,,5.0,-82,,3,2
2024-12-24 16:12:36.824900,0x433acb14,,,,,,,7.0,-80,,3,2
2024-12-24 16:13:43.774917,0x433acb14,,,,,,,6.0,-81,,3,2
2024-12-24 16:14:36.942785,0x433acb14,,,,,,,6.25,-80,,3,2
2024-12-24 16:15:36.428449,0x433acb14,,,,,,,5.0,-81,,3,2
2024-12-24 16:16:37.946923,0x433acb14,,,,,,,6.75,-79,,3,2
