datetime,fromNode,batteryLevel,voltage,channelUtilization,airUtilTx,rxSnr,rxRssi,rxTime,hopStart,hopLimit
2024-12-24 15:46:07.307680,0x433af864,100,4.19,3.8033333,1.0050555,5.75,-39,,7,7
2024-12-24 15:46:07.417333,0x433af864,98,4.174,5.583333,1.0050555,6.0,-38,,7,7
2024-12-24 15:46:50.342678,0x336918e8,101,4.267,5.1766667,2.1636667,5.0,-78,,5,2
2024-12-24 15:46:57.226335,0x433af864,100,4.192,8.815001,1.0050555,6.25,-37,,7,7
2024-12-24 15:46:58.510794,0x433aca0c,36,3.59,11.906667,3.5858054,,,,,3
2024-12-24 15:47:16.845897,0x433acb14,101,4.212,10.016666,2.9910278,5.5,-79,,3,2
2024-12-24 15:47:57.410905,0x433af864,98,4.169,5.666667,1.0050555,6.0,-39,,7,7
2024-12-24 15:47:58.685838,0x433aca0c,36,3.59,6.6516666,3.567111,,,,,3
2024-12-24 15:48:17.885150,0x433bc2b0,100,4.19,5.666667,3.0215833,5.75,-79,,3,1
2024-12-24 15:48:58.040739,0x433af864,101,4.21,9.303333,1.0050555,6.25,-38,,7,7
2024-12-24 15:48:58.756442,0x433aca0c,36,3.59,9.440001,3.6293612,,,,3,3
2024-12-24 15:49:57.660738,0x433af864,99,4.185,5.94,1.0050555,5.75,-38,,7,7
2024-12-24 15:49:58.939480,0x433aca0c,36,3.593,7.91,3.6184165,,,,,3
2024-12-24 15:50:58.378997,0x433af864,96,4.14,3.6966667,1.0050555,6.0,-38,,7,7
2024-12-24 15:50:58.900341,0x433aca0c,36,3.594,4.6816664,3.634833,,,,,3
2024-12-24 15:51:57.999329,0x433af864,99,4.187,5.666667,1.0050555,6.5,-38,,7,7
2024-12-24 15:51:59.029434,0x433aca0c,36,3.591,5.666667,3.6040277,,,,,3
2024-12-24 15:52:58.149104,0x433af864,100,4.198,7.0316663,1.0050555,5.75,-38,,7,7
2024-12-24 15:52:58.931493,0x433aca0c,36,3.594,7.0316663,3.5891943,,,,,3
2024-12-24 15:53:17.835623,0x433acb14,100,4.194,6.0466666,2.9512777,5.5,-81,,3,2
2024-12-24 15:53:58.335823,0x433af864,99,4.189,8.348333,1.0050555,6.0,-38,,7,7
2024-12-24 15:53:59.114003,0x433aca0c,36,3.591,8.348333,3.636417,,,,,3
2024-12-24 15:54:19.894111,0x433bc2b0,101,4.232,6.2416663,3.0080833,4.75,-82,,3,1
2024-12-24 15:54:58.961626,0x433af864,101,4.223,6.6516666,1.0050555,6.0,-38,,7,7
2024-12-24 15:54:59.238857,0x433aca0c,36,3.594,6.6516666,3.634833,,,,,3
2024-12-24 15:55:58.610424,0x433af864,99,4.178,8.621667,1.0050555,5.75,-39,,7,7
2024-12-24 15:55:59.139098,0x433aca0c,36,3.594,8.621667,3.5871391,,,,,3
2024-12-24 15:56:59.251243,0x433af864,101,4.205,6.1349998,1.0050555,7.25,-39,,7,7
2024-12-24 15:56:59.524856,0x433aca0c,36,3.592,6.1349998,3.5686944,,,,,3
