datetime,fromNode,temperature,relativeHumidity,barometricPressure,gasResistance,iaq,windDirection,windSpeed,rxSnr,rxRssi,rxTime,hopStart,hopLimit
2024-12-24 15:46:07.269771,0x433aca0c,26.672562,42.429398,1017.2167,277.4315,79,,,,,,,3
2024-12-24 15:46:07.333945,0x433acb14,14.77312,60.064953,1001.59766,4029.8508,61,,,6.25,-77,,3,2
2024-12-24 15:46:07.443628,0x433aca0c,26.695395,42.312263,1017.218,278.6006,77,,,,,,3,3
2024-12-24 15:46:07.543284,0x433aca0c,26.702532,42.29485,1017.2397,279.07098,77,,,,,,,3
2024-12-24 15:46:17.094206,0x433acb14,14.742416,59.660904,1001.61414,4205.6074,59,,,5.75,-75,,3,2
2024-12-24 15:46:53.477091,0x433bc2b0,15.473825,58.23714,1004.5092,856.0558,63,,,6.0,-81,,3,1
2024-12-24 15:47:07.576831,0x433aca0c,26.781178,42.129333,1017.2645,279.54297,76,,,,,,,3
2024-12-24 15:47:16.088595,0x433acb14,14.798594,60.170067,1001.61774,4218.75,58,,,5.5,-79,,3,2
2024-12-24 15:48:07.726243,0x433aca0c,26.730356,42.361553,1017.3166,278.6006,76,,,,,,,3
2024-12-24 15:48:18.653941,0x433acb14,14.711786,59.20163,1001.71967,4365.4,57,,,5.75,-80,,3,2
2024-12-24 15:49:07.820761,0x433aca0c,26.778578,42.475487,1017.35284,282.65018,72,,,,,,,3
2024-12-24 15:49:15.900897,0x433acb14,14.675963,59.118652,1001.7006,4473.902,55,,,7.0,-80,,3,2
2024-12-24 15:49:47.969052,0x433bc2b0,15.385424,57.66865,1004.6249,915.8752,54,,,5.0,-81,,3,1
2024-12-24 15:50:07.974849,0x433aca0c,26.761023,42.061752,1017.3879,282.89206,69,,,,,,,3
2024-12-24 15:50:15.942965,0x433acb14,14.63239,58.957916,1001.7456,4607.5083,54,,,6.5,-80,,3,2
2024-12-24 15:51:07.899626,0x433aca0c,26.816404,41.76975,1017.3888,282.40872,72,,,,,,,3
2024-12-24 15:51:15.949697,0x433acb14,14.581102,59.44163,1001.76074,4675.325,53,,,5.5,-79,,3,2
2024-12-24 15:52:08.055432,0x433aca0c,26.917522,41.650257,1017.39435,280.49173,76,,,,,,,3
2024-12-24 15:52:16.624958,0x433acb14,14.5581875,59.214413,1001.7653,4821.4287,51,,,6.75,-79,,3,2
2024-12-24 15:52:49.190553,0x433bc2b0,15.294647,57.5881,1004.60144,946.04065,49,,,7.0,-81,,3,1
2024-12-24 15:53:08.224348,0x433aca0c,26.945137,41.42358,1017.4079,284.5969,71,,,,,,,3
2024-12-24 15:53:16.321973,0x433acb14,14.596568,59.66137,1001.7652,4856.115,50,,,5.0,-80,,3,2
2024-12-24 15:54:08.156584,0x433aca0c,27.036156,41.32473,1017.4456,281.68677,75,,,,,,,3
2024-12-24 15:54:19.175588,0x433acb14,14.55307,59.020996,1001.74475,4958.6777,49,,,5.25,-82,,3,2
2024-12-24 15:55:08.285230,0x433aca0c,27.063774,41.253452,1017.46594,284.5969,70,,,,,,,3
2024-12-24 15:55:16.779138,0x433acb14,14.463514,58.444088,1001.7263,5051.4497,49,,,5.5,-81,,3,2
2024-12-24 15:55:48.458648,0x433bc2b0,15.324831,57.58721,1004.62115,950.0351,50,,,5.75,-81,,3,1
2024-12-24 15:56:08.302967,0x433aca0c,27.099222,41.291218,1017.463,284.84213,68,,,,,,,3
2024-12-24 15:56:16.066040,0x433acb14,14.412339,59.190155,1001.7161,5167.464,49,,,5.25,-81,,3,2
2024-12-24 15:57:08.570820,0x433aca0c,27.210176,40.83421,1017.4529,285.82724,68,,,,,,,3
2024-12-24 15:57:16.591829,0x433acb14,14.373847,58.705746,1001.7044,5222.437,49,,,5.0,-81,,3,2
2024-12-24 15:58:08.536916,0x433aca0c,27.911936,39.267647,1019.81903,274.66537,74,,,,,,,3
2024-12-24 15:58:16.578775,0x433acb14,14.312551,59.723843,1001.8381,5294.1177,49,,,5.5,-82,,3,2
2024-12-24 15:58:48.795946,0x433bc2b0,14.981621,57.421528,1004.6839,993.37744,50,,,5.75,-80,,3,1
2024-12-24 15:59:08.705102,0x433aca0c,27.268457,40.90657,1017.5306,277.89795,75,,,,,,,3
2024-12-24 15:59:17.991231,0x433acb14,14.187172,58.30785,1001.7266,5460.0605,49,,,6.25,-80,,3,2
2024-12-24 16:00:08.809458,0x433aca0c,27.298521,40.70731,1017.53125,283.37708,73,,,,,,,3
2024-12-24 16:00:18.270990,0x433acb14,14.07459,57.633472,1001.71893,5708.245,48,,,5.0,-82,,3,2
2024-12-24 16:01:08.739467,0x433aca0c,27.359253,40.612583,1017.5787,280.72992,77,,,,,,,3
2024-12-24 16:01:17.614898,0x433acb14,13.967198,58.44772,1001.7152,5869.565,47,,,5.0,-81,,3,2
2024-12-24 16:01:49.008945,0x433bc2b0,14.729001,56.76405,1004.7081,1046.5116,48,,,5.25,-80,,3,1
2024-12-24 16:02:08.925296,0x433aca0c,27.331337,40.735756,1017.5653,276.2722,83,,,,,,,3
2024-12-24 16:02:19.407392,0x433acb14,13.823835,58.216244,1001.8129,6115.515,45,,,5.25,-81,,3,2
2024-12-24 16:03:09.056064,0x433aca0c,27.429932,40.50475,1017.6176,280.2539,79,,,,,,,3
2024-12-24 16:03:17.424439,0x433acb14,13.790571,58.865143,1001.76953,6282.723,45,,,5.75,-80,,3,2
2024-12-24 16:04:06.600604,0x433aca0c,27.41934,40.486935,1017.6451,280.9685,75,,,,,,3,3
2024-12-24 16:04:09.129355,0x433aca0c,27.421635,40.49001,1017.6719,281.68677,75,,,,,,,3
2024-12-24 16:04:16.710979,0x433acb14,13.790571,58.422024,1001.8903,6502.1074,44,,,5.25,-81,,3,2
2024-12-24 16:04:49.413469,0x433bc2b0,14.30738,57.795162,1004.71606,1105.6511,47,,,5.25,-82,,3,1
2024-12-24 16:05:09.108265,0x433aca0c,27.30877,40.92348,1017.7034,273.52902,79,,,,,,,3
2024-12-24 16:05:17.148616,0x433acb14,13.806,58.86591,1001.90155,6625.7676,43,,,5.25,-81,,3,2
2024-12-24 16:06:09.192142,0x433aca0c,27.619469,40.10085,1017.75085,279.77954,80,,,,,,,3
2024-12-24 16:06:20.203359,0x433acb14,13.798136,59.30966,1001.89844,6658.4463,43,,,5.25,-82,,3,2
2024-12-24 16:07:09.419157,0x433aca0c,27.419682,40.451336,1017.7467,281.927,74,,,,,,,3
2024-12-24 16:07:16.196694,0x433acb14,13.846864,59.723587,1001.9328,6650.2466,43,,,6.0,-80,,3,2
2024-12-24 16:07:51.641423,0x433bc2b0,14.35041,58.399548,1004.84906,1094.0033,51,,,5.25,-81,,3,1
2024-12-24 16:08:09.357355,0x433aca0c,27.439875,40.388355,1017.76245,279.77954,79,,,,,,,3
2024-12-24 16:08:17.155380,0x433acb14,13.75475,59.573788,1001.9331,6728.972,44,,,5.25,-81,,3,2
2024-12-24 16:09:09.443430,0x433aca0c,27.455095,40.403645,1017.7834,283.37708,71,,,,,,,3
2024-12-24 16:09:17.630953,0x433acb14,13.834145,59.41554,1001.98456,6728.972,44,,,5.0,-81,,3,2
2024-12-24 16:10:09.598645,0x433aca0c,27.48286,40.152653,1017.76746,284.84213,69,,,,,,,3
2024-12-24 16:10:16.883643,0x433acb14,13.767543,59.352505,1001.8963,6716.418,45,,,5.5,-82,,3,2
2024-12-24 16:10:46.971868,0x433bc2b0,14.461385,58.29677,1004.7939,1057.1653,56,,,5.25,-81,,3,1
2024-12-24 16:11:09.747262,0x433aca0c,27.651983,39.769466,1017.74207,287.8181,65,,,,,,,3
2024-12-24 16:11:17.789272,0x433acb14,13.703651,59.79889,1001.9297,6883.365,45,,,5.0,-82,,3,2
2024-12-24 16:12:09.662832,0x433aca0c,28.212315,38.5995,1020.02875,269.29535,76,,,,,,,3
2024-12-24 16:12:19.590898,0x433acb14,13.652289,59.36295,1001.9008,7063.4404,45,,,6.25,-80,,3,2
2024-12-24 16:13:09.851915,0x433aca0c,27.439798,40.003986,1017.6937,285.82724,70,,,,,,,3
2024-12-24 16:13:20.378867,0x433acb14,13.624332,59.238625,1001.8446,7095.926,45,,,6.75,-80,,3,2
2024-12-24 16:13:48.056354,0x433bc2b0,14.054911,58.748306,1004.7736,1078.2748,54,,,5.25,-81,,3,1
2024-12-24 16:14:09.792862,0x433aca0c,27.37176,40.222404,1017.67957,287.56775,67,,,,,,,3
2024-12-24 16:15:09.908190,0x433aca0c,27.404535,40.155895,1017.67755,286.0746,70,,,,,,,3
2024-12-24 16:15:16.946788,0x433acb14,13.624145,60.0122,1001.87476,7224.08,46,,,5.0,-82,,3,2
2024-12-24 16:16:10.139832,0x433aca0c,27.611557,39.83881,1017.62756,287.0683,69,,,,,,,3
2024-12-24 16:16:16.944334,0x433acb14,13.585876,60.19082,1001.8109,7292.37,46,,,6.5,-79,,3,2
2024-12-24 16:16:48.477569,0x433bc2b0,13.941339,59.533806,1004.642,1060.487,56,,,5.5,-79,,3,1
2024-12-24 16:17:10.061578,0x433aca0c,27.480413,40.03663,1017.5755,284.1077,76,,,,,,,3
2024-12-24 16:17:18.098115,0x433acb14,13.506632,60.110264,1001.81793,7327.0015,46,,,5.5,-79,,3,2
2024-12-24 16:18:10.289088,0x433aca0c,27.437464,40.450253,1017.5705,288.824,74,,,,,,,3
2024-12-24 16:18:18.307806,0x433acb14,13.411773,60.355537,1001.71655,7402.3306,47,,,6.5,-80,,3,2
2024-12-24 16:19:10.222837,0x433aca0c,27.43234,40.22275,1017.5274,285.58035,70,,,,,,,3
2024-12-24 16:19:17.180473,0x433acb14,13.398978,60.55909,1001.7232,7438.0166,47,,,6.5,-79,,3,2
2024-12-24 16:19:49.637615,0x433bc2b0,13.721125,59.960003,1004.5056,1048.9512,56,,,6.25,-80,,3,1
2024-12-24 16:20:10.360924,0x433aca0c,28.230135,38.941208,1019.79364,268.63882,78,,,,,,,3
2024-12-24 16:20:17.983639,0x433acb14,13.393972,60.464977,1001.6541,7484.4077,48,,,6.5,-79,,3,2
2024-12-24 16:21:10.388188,0x433aca0c,27.336721,40.537388,1017.4448,265.40366,80,,,,,,,3
2024-12-24 16:21:16.734764,0x433acb14,13.370833,60.61428,1001.63153,7531.3804,48,,,6.5,-80,,3,2
2024-12-24 16:22:06.853949,0x433aca0c,27.371038,40.22817,1017.39734,285.82724,71,,,,,,3,3
2024-12-24 16:22:10.635711,0x433aca0c,27.393948,40.191227,1017.4019,286.5706,70,,,,,,,3
2024-12-24 16:22:17.599169,0x433acb14,13.4451475,60.516857,1001.5671,7484.4077,49,,,6.25,-80,,3,2
2024-12-24 16:22:49.412227,0x433bc2b0,13.696484,60.072605,1004.4652,1068.8837,56,,,5.0,-81,,3,1
2024-12-24 16:23:10.585402,0x433aca0c,27.619093,39.744633,1017.41,287.3178,69,,,,,,,3
2024-12-24 16:23:17.480327,0x433acb14,13.450265,60.325336,1001.5893,7526.1323,49,,,6.25,-81,,3,2
2024-12-24 16:24:10.783489,0x433aca0c,27.445036,40.09981,1017.3684,287.8181,70,,,,,,,3
2024-12-24 16:24:19.374791,0x433acb14,13.383626,60.244434,1001.5662,7621.736,49,,,7.25,-80,,3,2
2024-12-24 16:25:10.891613,0x433aca0c,27.603983,39.84523,1017.4011,288.3202,68,,,,,,,3
2024-12-24 16:25:20.157234,0x433acb14,13.378509,59.80978,1001.56934,7769.784,49,,,5.0,-80,,3,2
2024-12-24 16:25:48.617634,0x433bc2b0,13.504722,60.22035,1004.46515,1075.6973,55,,,7.0,-81,,3,1
2024-12-24 16:26:10.891507,0x433aca0c,27.406338,40.1716,1017.3326,284.84213,73,,,,,,,3
2024-12-24 16:26:16.760992,0x433acb14,13.322217,60.445946,1001.64404,7814.761,49,,,7.0,-80,,3,2
2024-12-24 16:27:11.050788,0x433aca0c,27.490246,40.014843,1017.37274,286.5706,69,,,,,,,3
