datetime,fromNode,ch3Voltage,ch3Current,rxSnr,rxRssi,rxTime,hopStart,hopLimit
2024-12-24 15:46:07.363464,0x433bc2b0,13.01875,136.25,6.75,-76,,3,1
2024-12-24 15:48:30.547230,0x433acb14,13.26625,66.25,4.75,-83,,3,2
2024-12-24 15:53:33.019664,0x433acb14,13.26125,76.25,5.5,-81,,3,2
2024-12-24 15:55:23.475324,0x433bc2b0,13.1725,61.25,5.25,-81,,3,1
2024-12-24 15:58:36.016493,0x433acb14,13.26375,66.25,6.75,-81,,3,2
2024-12-24 16:03:35.634113,0x433acb14,13.265,65.0,5.5,-80,,3,2
2024-12-24 16:05:24.578726,0x433bc2b0,13.17,65.0,5.0,-81,,3,1
2024-12-24 16:08:35.059103,0x433acb14,13.26625,66.25,5.75,-81,,3,2
2024-12-24 16:13:41.620255,0x433acb14,13.26375,76.25,5.5,-80,,3,2
2024-12-24 16:15:25.683322,0x433bc2b0,13.04125,125.0,4.75,-81,,3,1
2024-12-24 16:18:37.362268,0x433acb14,13.265,70.0,7.0,-81,,3,2
2024-12-24 16:23:39.130314,0x433acb14,13.26375,65.0,6.75,-80,,3,2
2024-12-24 16:25:27.226858,0x433bc2b0,13.165,66.25,6.5,-80,,3,1
2024-12-24 16:28:39.817094,0x433acb14,13.265,61.25,7.0,-80,,3,2
2024-12-24 16:33:40.925527,0x433acb14,13.26375,76.25,6.0,-80,,3,2
2024-12-24 16:35:24.694913,0x433bc2b0,13.0425,123.75,5.25,-80,,3,1
2024-12-24 16:38:42.238267,0x433acb14,13.26625,66.25,5.75,-79,,3,2
2024-12-24 16:43:44.101777,0x433acb14,13.26,72.5,4.75,-81,,3,2
2024-12-24 16:45:24.521717,0x433bc2b0,13.16625,61.25,5.0,-81,,3,1
2024-12-24 16:48:44.502872,0x433acb14,13.26625,65.0,5.0,-82,,3,2
2024-12-24 16:53:46.948692,0x433acb14,13.26,77.5,5.0,-81,,3,2
2024-12-24 16:58:46.799482,0x433acb14,13.26125,76.25,5.25,-82,,3,2
2024-12-24 17:03:49.460899,0x433acb14,13.26625,63.75,5.0,-81,,3,2
2024-12-24 17:05:37.682725,0x433bc2b0,13.14375,76.25,5.5,-80,,3,1
2024-12-24 17:08:50.154141,0x433acb14,13.265,61.25,5.0,-81,,3,2
2024-12-24 17:13:53.701028,0x433acb14,13.26375,65.0,5.5,-82,,3,2
2024-12-24 17:15:26.179117,0x433bc2b0,13.16625,62.5,4.75,-82,,3,1
2024-12-24 17:18:51.835459,0x433acb14,13.26375,66.25,7.0,-79,,3,2
2024-12-24 17:23:52.999404,0x433acb14,13.2625,60.0,7.0,-81,,3,2
2024-12-24 17:25:26.777580,0x433bc2b0,13.13875,76.25,5.5,-81,,3,1
2024-12-24 17:33:56.191298,0x433acb14,13.25875,75.0,5.25,-80,,3,2
2024-12-24 17:35:28.587587,0x433bc2b0,13.15125,75.0,5.25,-81,,3,1
2024-12-24 17:44:00.898854,0x433acb14,13.26125,63.75,6.25,-80,,3,2
2024-12-24 17:45:27.652679,0x433bc2b0,13.16375,66.25,7.0,-80,,3,1
2024-12-24 17:54:01.362859,0x433acb14,13.26375,65.0,6.5,-80,,3,2
2024-12-24 17:55:31.516931,0x433bc2b0,13.14125,73.75,6.0,-79,,3,1
2024-12-24 17:59:05.615522,0x433acb14,13.2625,66.25,6.5,-80,,3,2
2024-12-24 18:39:12.694962,0x433acb14,13.2575,75.0,6.0,-79,,3,2
2024-12-24 18:44:13.230615,0x433acb14,13.25875,66.25,6.0,-80,,3,2
2024-12-24 18:45:31.038810,0x433bc2b0,13.14875,73.75,5.75,-79,,3,1
2024-12-24 18:54:14.415146,0x433acb14,13.255,73.75,5.0,-79,,3,2
2024-12-24 18:59:15.130778,0x433acb14,13.26,65.0,5.25,-80,,3,2
2024-12-24 19:04:16.317753,0x433acb14,13.2575,62.5,5.25,-80,,3,2
2024-12-24 19:05:33.549683,0x433bc2b0,13.14,68.75,6.25,-80,,3,1
2024-12-24 19:09:18.352294,0x433acb14,13.2525,80.0,5.75,-79,,3,2
2024-12-24 19:14:19.768570,0x433acb14,13.25375,73.75,5.25,-79,,3,2
2024-12-24 19:15:32.465432,0x433bc2b0,13.13625,78.75,5.5,-79,,3,1
2024-12-24 19:19:20.759038,0x433acb14,13.25375,76.25,6.0,-79,,3,2
2024-12-24 19:24:22.239880,0x433acb14,13.25625,63.75,5.0,-79,,3,2
2024-12-24 19:29:24.017223,0x433acb14,13.25625,60.0,5.5,-78,,3,2
2024-12-24 19:34:28.274631,0x433acb14,13.2575,66.25,5.75,-78,,3,2
2024-12-24 19:39:32.825765,0x433acb14,13.25375,73.75,6.25,-77,,3,2
2024-12-24 19:44:27.565614,0x433acb14,13.25125,75.0,7.0,-77,,3,2
2024-12-24 19:45:37.029311,0x433bc2b0,13.13625,77.5,6.0,-77,,3,1
2024-12-24 19:49:30.961474,0x433acb14,13.25625,65.0,6.0,-77,,3,2
2024-12-24 19:59:30.730830,0x433acb14,13.22625,132.5,6.25,-77,,3,2
2024-12-24 20:04:34.354850,0x433acb14,13.24625,66.25,7.0,-77,,3,2
2024-12-24 20:05:36.673341,0x433bc2b0,13.15,72.5,5.75,-77,,3,1
2024-12-24 20:09:31.774858,0x433acb14,13.25125,78.75,5.5,-78,,3,2
2024-12-24 20:14:34.358815,0x433acb14,13.225,132.5,6.25,-77,,3,2
2024-12-24 20:15:47.119610,0x433bc2b0,13.17125,60.0,5.5,-76,,3,1
2024-12-24 20:19:34.775027,0x433acb14,13.25625,63.75,5.25,-76,,3,2
2024-12-24 20:24:40.032514,0x433acb14,13.225,131.25,5.75,-76,,3,2
2024-12-24 20:25:32.729646,0x433bc2b0,13.16625,61.25,7.0,-76,,3,1
2024-12-24 20:34:42.554512,0x433acb14,13.24875,72.5,5.5,-78,,3,2
2024-12-24 20:35:31.938550,0x433bc2b0,13.14625,72.5,5.25,-79,,3,1
2024-12-24 20:39:40.925542,0x433acb14,13.2225,133.75,5.5,-77,,3,2
2024-12-24 20:44:40.493956,0x433acb14,13.25,75.0,5.5,-78,,3,2
2024-12-24 20:45:31.174935,0x433bc2b0,13.14375,73.75,6.25,-77,,3,1
2024-12-24 20:55:32.394776,0x433bc2b0,13.16,62.5,5.75,-78,,3,1
2024-12-24 20:59:47.303091,0x433acb14,13.2525,62.5,5.5,-77,,3,2
2024-12-24 21:04:45.508883,0x433acb14,13.25,72.5,6.25,-78,,3,2
2024-12-24 21:05:34.654173,0x433bc2b0,13.1625,67.5,5.5,-77,,3,1
2024-12-24 21:15:33.885770,0x433bc2b0,13.14125,67.5,5.25,-78,,3,1
2024-12-24 21:19:48.078955,0x433acb14,13.24625,65.0,5.25,-79,,3,2
2024-12-24 21:24:53.082787,0x433acb14,13.22,138.75,5.25,-78,,3,2
2024-12-24 21:25:33.382440,0x433bc2b0,13.135,73.75,5.25,-79,,3,1
2024-12-24 21:29:55.625912,0x433acb14,13.24875,66.25,5.5,-78,,3,2
2024-12-24 21:34:59.049455,0x433acb14,13.25125,66.25,5.5,-78,,3,2
2024-12-24 21:35:33.268586,0x433bc2b0,13.1625,56.25,5.25,-79,,3,1
2024-12-24 21:39:55.375099,0x433acb14,13.25125,65.0,5.5,-79,,3,2
2024-12-24 21:44:54.222661,0x433acb14,13.24625,73.75,5.0,-79,,3,2
2024-12-24 21:45:36.790177,0x433bc2b0,13.1675,61.25,5.25,-78,,3,1
2024-12-24 21:49:57.651342,0x433acb14,13.25,66.25,4.75,-79,,3,2
2024-12-24 21:55:33.638808,0x433bc2b0,13.15875,62.5,5.5,-78,,3,1
2024-12-24 22:05:34.033001,0x433bc2b0,13.13875,71.25,4.5,-85,,3,1
2024-12-24 22:15:03.560072,0x433acb14,13.245,76.25,6.75,-77,,3,2
2024-12-24 22:15:34.212060,0x433bc2b0,13.16125,63.75,5.5,-76,,3,1
2024-12-24 22:25:35.966901,0x433bc2b0,13.1575,62.5,5.5,-77,,3,1
2024-12-24 22:30:06.281108,0x433acb14,13.24875,67.5,6.25,-78,,3,2
2024-12-24 22:35:07.318927,0x433acb14,13.2475,63.75,5.25,-75,,3,2
2024-12-24 22:35:35.500651,0x433bc2b0,13.1425,68.75,5.0,-75,,3,1
2024-12-24 22:40:07.639514,0x433acb14,13.245,75.0,5.5,-75,,3,2
2024-12-24 22:45:08.264229,0x433acb14,13.245,73.75,5.5,-76,,3,2
2024-12-24 22:45:34.328164,0x433bc2b0,13.155,55.0,5.5,-76,,3,1
2024-12-24 22:50:09.028470,0x433acb14,13.245,72.5,5.5,-75,,3,2
2024-12-24 22:55:12.995359,0x433acb14,13.24625,61.25,5.25,-76,,3,2
2024-12-24 22:55:35.424704,0x433bc2b0,13.1325,70.0,5.75,-74,,3,1
2024-12-24 23:00:12.006101,0x433acb14,13.2175,128.75,5.75,-75,,3,2
2024-12-24 23:05:13.035590,0x433acb14,13.2475,66.25,5.5,-76,,3,2
2024-12-24 23:05:38.101163,0x433bc2b0,13.1325,72.5,5.75,-75,,3,1
