datetime,fromNode,pm10Standard,pm25Standard,pm100Standard,pm10Environmental,pm25Environmental,pm100Environmental,rxSnr,rxRssi,rxTime,hopStart,hopLimit
2025-01-22 15:34:46.957689,0x433bc2b0,1,1,2,1,1,2,-19.5,-127,,3,3
2025-01-22 15:35:28.882942,0x433acb14,,,,,,,4.75,-96,,3,3
2025-01-22 15:35:46.794895,0x433bc2b0,1,1,1,1,1,1,-17.5,-125,,3,3
2025-01-22 15:36:29.089089,0x433acb14,,,,,,,5.25,-96,,3,3
2025-01-22 15:36:46.939745,0x433bc2b0,1,1,1,1,1,1,-20.0,-126,,3,3
2025-01-22 15:37:29.363076,0x433acb14,,,2,,,2,5.75,-96,,3,3
2025-01-22 15:37:49.345908,0x433bc2b0,1,2,2,1,2,2,4.75,-96,,3,2
2025-01-22 15:38:29.789336,0x433acb14,,,1,,,1,5.0,-95,,3,3
2025-01-22 15:38:54.337091,0x433bc2b0,,1,1,,1,1,4.25,-97,,3,2
2025-01-22 15:39:30.149217,0x433acb14,1,1,1,1,1,1,5.0,-95,,3,3
2025-01-22 15:39:50.059887,0x433bc2b0,1,1,1,1,1,1,4.5,-96,,3,2
2025-01-22 15:40:30.530319,0x433acb14,,,,,,,5.0,-96,,3,3
2025-01-22 15:40:49.851037,0x433bc2b0,1,1,1,1,1,1,4.75,-96,,3,2
2025-01-22 15:41:30.317297,0x433acb14,,,1,,,1,5.0,-96,,3,3
2025-01-22 15:41:47.924890,0x433bc2b0,,,,,,,-19.5,-126,,3,3
2025-01-22 15:42:30.488343,0x433acb14,,,,,,,4.5,-96,,3,3
2025-01-22 15:42:48.281876,0x433bc2b0,1,1,1,1,1,1,-19.5,-125,,3,3
2025-01-22 15:43:30.772486,0x433acb14,,,,,,,4.75,-96,,3,3
2025-01-22 15:43:50.577170,0x433bc2b0,,,,,,,5.0,-96,,3,2
2025-01-22 15:44:31.187376,0x433acb14,,,,,,,5.75,-97,,3,3
2025-01-22 15:44:48.744932,0x433bc2b0,1,1,1,1,1,1,-19.5,-125,,3,3
2025-01-22 15:45:31.756510,0x433acb14,,,,,,,6.0,-96,,3,3
2025-01-22 15:45:49.006196,0x433bc2b0,,,1,,,1,-16.75,-125,,3,3
2025-01-22 15:46:31.552366,0x433acb14,,,,,,,6.0,-96,,3,3
2025-01-22 15:46:49.207109,0x433bc2b0,1,1,2,1,1,2,-17.5,-125,,3,3
2025-01-22 15:47:31.676355,0x433acb14,,,,,,,5.25,-96,,3,3
2025-01-22 15:47:50.043249,0x433bc2b0,1,1,1,1,1,1,-18.25,-126,,3,3
2025-01-22 15:48:32.063539,0x433acb14,,,,,,,5.75,-95,,3,3
2025-01-22 15:48:49.664264,0x433bc2b0,,,,,,,-18.0,-126,,3,3
2025-01-22 15:49:32.354383,0x433acb14,,,,,,,4.5,-96,,3,3
2025-01-22 15:49:49.827124,0x433bc2b0,,,2,,,2,-18.75,-127,,3,3
