datetime,fromNode,batteryLevel,voltage,channelUtilization,airUtilTx,rxSnr,rxRssi,rxTime,hopStart,hopLimit
2025-01-22 15:35:23.577089,0x43590ff4,101,4.213,5.5716667,2.4418333,,,,,5
2025-01-22 15:36:13.092690,0x433bc2b0,100,4.192,9.296667,2.950611,-19.75,-126,,3,3
2025-01-22 15:36:23.618106,0x43590ff4,101,4.231,8.555,2.4443333,,,,,5
2025-01-22 15:37:23.749973,0x43590ff4,101,4.241,5.6000004,2.4459443,,,,,5
2025-01-22 15:38:23.769045,0x43590ff4,101,4.257,4.7766666,2.4363334,,,,,5
2025-01-22 15:39:00.876338,0x433acb14,101,4.223,7.6899996,3.3482778,5.25,-96,,3,3
2025-01-22 15:39:23.732080,0x43590ff4,101,4.214,6.6366663,2.4367778,,,,,5
2025-01-22 15:40:23.770159,0x43590ff4,101,4.212,5.721667,2.412139,,,,,5
2025-01-22 15:41:23.808288,0x43590ff4,101,4.236,7.541667,2.4055555,,,,,5
2025-01-22 15:42:13.278974,0x433bc2b0,101,4.218,7.5000005,2.9884446,-19.75,-126,,3,3
2025-01-22 15:42:24.052155,0x43590ff4,101,4.22,5.666667,2.4153056,,,,,5
2025-01-22 15:43:23.971157,0x43590ff4,101,4.234,4.8733335,2.4178057,,,,,5
2025-01-22 15:44:24.060126,0x43590ff4,101,4.233,4.423333,2.382472,,,,,5
2025-01-22 15:45:01.164595,0x433acb14,100,4.198,6.298333,3.4188054,4.5,-96,,3,3
2025-01-22 15:45:24.088920,0x43590ff4,101,4.202,7.965,2.4218888,,,,,5
2025-01-22 15:46:24.124190,0x43590ff4,101,4.214,6.036667,2.4535832,,,,,5
2025-01-22 15:47:24.138500,0x43590ff4,101,4.219,5.45,2.4535832,,,,,5
2025-01-22 15:48:13.515847,0x433bc2b0,101,4.255,7.693333,2.9453611,-19.25,-127,,3,3
2025-01-22 15:48:24.075365,0x43590ff4,100,4.194,10.648334,2.455389,,,,,5
2025-01-22 15:49:24.226198,0x43590ff4,100,4.195,5.15,2.4389722,,,,,5
2025-01-22 15:50:24.192431,0x43590ff4,101,4.238,8.923333,2.454,,,,,5
2025-01-22 15:51:01.400533,0x433acb14,97,4.159,7.2416663,3.383,6.0,-95,,3,3
2025-01-22 15:51:24.279315,0x43590ff4,101,4.221,9.9383335,2.429139,,,,,5
2025-01-22 15:52:24.319345,0x43590ff4,101,4.223,5.8766665,2.4453332,,,,,5
2025-01-22 15:53:24.319409,0x43590ff4,99,4.187,6.5716667,2.4453332,,,,,5
2025-01-22 15:54:13.768402,0x433bc2b0,101,4.236,8.57,2.9299166,-20.25,-127,,3,3
2025-01-22 15:54:24.323762,0x43590ff4,101,4.25,8.296666,2.4665277,,,,,5
2025-01-22 15:55:24.398360,0x43590ff4,101,4.241,6.8466663,2.4784167,,,,,5
2025-01-22 15:56:24.434419,0x43590ff4,101,4.217,6.3266664,2.5051389,,,,,5
2025-01-22 15:57:01.590944,0x433acb14,99,4.178,4.423333,3.3695276,5.5,-96,,3,3
2025-01-22 15:57:24.445742,0x43590ff4,101,4.227,8.241667,2.5359445,,,,,5
2025-01-22 15:58:24.583041,0x43590ff4,101,4.254,5.8766665,2.5455556,,,,5,5
2025-01-22 15:59:24.804300,0x43590ff4,101,4.238,6.271667,2.5430555,,,,,5
2025-01-22 16:00:17.383122,0x433bc2b0,101,4.228,9.28,2.8874722,4.75,-95,,3,2
2025-01-22 16:00:24.661468,0x43590ff4,101,4.235,9.143333,2.5578887,,,,,5
2025-01-22 16:01:24.857773,0x43590ff4,100,4.197,7.146667,2.5745277,,,,,5
2025-01-22 16:02:24.772909,0x43590ff4,101,4.201,5.75,2.5770278,,,,,5
2025-01-22 16:03:02.369339,0x433acb14,101,4.204,6.271667,3.3538055,5.0,-96,,3,3
2025-01-22 16:03:24.846966,0x43590ff4,101,4.225,8.241667,2.6078334,,,,,5
2025-01-22 16:04:24.808195,0x43590ff4,101,4.217,5.45,2.5770278,,,,,5
2025-01-22 16:05:24.845447,0x43590ff4,101,4.208,7.146667,2.5583332,,,,,5
2025-01-22 16:06:14.236142,0x433bc2b0,101,4.219,9.691667,2.9469724,-20.25,-127,,3,3
2025-01-22 16:06:25.064680,0x43590ff4,101,4.239,9.281667,2.6201668,,,,,5
2025-01-22 16:07:25.107749,0x43590ff4,101,4.26,5.45,2.6112502,,,,,5
2025-01-22 16:08:25.135761,0x43590ff4,101,4.234,5.556667,2.6324444,,,,,5
2025-01-22 16:09:02.071088,0x433acb14,97,4.161,7.5833335,3.3683612,5.25,-96,,3,3
2025-01-22 16:09:25.066983,0x43590ff4,101,4.205,8.131666,2.6317499,,,,,5
2025-01-22 16:10:25.153039,0x43590ff4,100,4.191,9.2,2.6650555,,,,,5
2025-01-22 16:11:25.246117,0x43590ff4,101,4.207,6.8466663,2.6841943,,,,,5
2025-01-22 16:11:44.791917,0x433af864,101,4.215,7.9683332,1.0033889,4.25,-96,,7,6
2025-01-22 16:12:14.774732,0x433bc2b0,101,4.22,11.241667,2.960472,-18.5,-126,,3,3
2025-01-22 16:12:25.297275,0x43590ff4,101,4.239,10.831667,2.7314167,,,,,5
2025-01-22 16:13:25.194385,0x43590ff4,101,4.248,5.15,2.7336943,,,,,5
2025-01-22 16:14:25.321577,0x43590ff4,101,4.203,5.2999997,2.7515,,,,,5
2025-01-22 16:15:02.359793,0x433acb14,99,4.181,9.196667,3.372472,5.75,-94,,3,3
2025-01-22 16:15:25.238545,0x43590ff4,101,4.256,14.0,2.7761388,,,,,5
2025-01-22 16:16:25.374547,0x43590ff4,101,4.229,6.3266664,2.7574444,,,,,5
2025-01-22 16:17:25.474875,0x43590ff4,101,4.227,5.8766665,2.73875,,,,,5
2025-01-22 16:18:14.707525,0x433bc2b0,101,4.244,9.691667,2.9789999,-20.0,-126,,3,3
2025-01-22 16:18:25.483871,0x43590ff4,100,4.196,10.648334,2.7720556,,,,,5
2025-01-22 16:19:25.442850,0x43590ff4,101,4.237,7.283334,2.760639,,,,,5
2025-01-22 16:20:25.521991,0x43590ff4,101,4.232,7.253333,2.7469444,,,,,5
2025-01-22 16:21:02.811469,0x433acb14,99,4.189,9.39,3.3859444,5.5,-96,,3,3
2025-01-22 16:21:25.612062,0x43590ff4,101,4.243,11.115,2.7618055,,,,,5
2025-01-22 16:22:25.628028,0x43590ff4,101,4.224,5.3399997,2.7285001,,,,,5
2025-01-22 16:23:25.603183,0x43590ff4,99,4.189,7.0533333,2.7219167,,,,,5
2025-01-22 16:24:22.329209,0x433bc2b0,101,4.225,7.693333,3.0258055,6.75,-95,,3,2
2025-01-22 16:24:25.603287,0x43590ff4,101,4.222,12.251667,2.7773333,,,,,5
2025-01-22 16:25:25.618304,0x43590ff4,99,4.186,8.023334,2.743139,,,,,5
2025-01-22 16:26:25.845384,0x43590ff4,100,4.192,5.15,2.740639,,,,,5
2025-01-22 16:27:02.836660,0x433acb14,98,4.175,7.3933334,3.415861,4.75,-96,,3,3
2025-01-22 16:27:25.694480,0x43590ff4,101,4.236,10.09,2.740639,,,,,5
2025-01-22 16:28:25.900903,0x43590ff4,100,4.197,6.3266664,2.7739444,,,,5,5
2025-01-22 16:29:25.911413,0x43590ff4,100,4.196,5.2566667,2.7602222,,,,,5
2025-01-22 16:30:15.207629,0x433bc2b0,101,4.237,10.211667,2.9950554,-19.0,-127,,3,3
2025-01-22 16:30:25.985880,0x43590ff4,101,4.261,9.9383335,2.7540555,,,,,5
2025-01-22 16:31:26.164596,0x43590ff4,101,4.246,7.995,2.770472,,,,,5
2025-01-22 16:32:26.464946,0x43590ff4,101,4.204,7.4483337,2.7492778,,,,,5
2025-01-22 16:33:03.087033,0x433acb14,100,4.194,5.6516666,3.3775277,5.75,-94,,3,3
2025-01-22 16:33:26.423807,0x43590ff4,99,4.186,7.226667,2.7597778,,,,,5
2025-01-22 16:34:26.536630,0x43590ff4,101,4.22,5.2566667,2.7572777,,,,,5
2025-01-22 16:35:26.485256,0x43590ff4,100,4.195,7.733333,2.7515833,,,,,5
2025-01-22 16:36:19.026946,0x433bc2b0,101,4.218,9.241667,2.9448054,5.75,-95,,3,2
2025-01-22 16:36:26.552048,0x43590ff4,101,4.227,8.241667,2.7864723,,,,,5
2025-01-22 16:37:26.617747,0x43590ff4,101,4.204,6.036667,2.8156667,,,,,5
2025-01-22 16:38:26.607565,0x43590ff4,100,4.198,6.5716667,2.8277776,,,,,5
2025-01-22 16:39:04.892006,0x433acb14,100,4.195,6.8166666,3.356778,5.75,-95,,3,3
2025-01-22 16:39:26.722603,0x43590ff4,101,4.219,7.846667,2.8604167,,,,,5
2025-01-22 16:40:26.725313,0x43590ff4,101,4.217,6.8466663,2.8841667,,,,,5
2025-01-22 16:41:26.682075,0x43590ff4,101,4.22,8.98,2.897389,,,,,5
2025-01-22 16:41:49.321808,0x433af864,97,4.158,7.5833335,0.9833333,5.0,-97,,7,6
2025-01-22 16:42:17.642798,0x433bc2b0,101,4.22,10.12,2.9352221,6.5,-95,,3,2
2025-01-22 16:42:26.734112,0x43590ff4,100,4.195,10.968333,2.923,,,,,5
2025-01-22 16:43:26.752902,0x43590ff4,101,4.221,5.15,2.9205,,,,,5
2025-01-22 16:44:26.838875,0x43590ff4,101,4.232,5.15,2.9083889,,,,,5
2025-01-22 16:45:05.860202,0x433acb14,98,4.171,8.118334,3.401528,6.0,-96,,3,3
2025-01-22 16:45:26.768810,0x43590ff4,101,4.255,12.208334,2.9182222,,,,,5
2025-01-22 16:46:26.794706,0x43590ff4,101,4.249,5.363333,2.9312222,,,,,5
2025-01-22 16:47:26.951853,0x43590ff4,101,4.244,6.485,2.9305,,,,,5
2025-01-22 16:48:15.949301,0x433bc2b0,101,4.202,7.3933334,2.9450276,-18.5,-125,,3,3
2025-01-22 16:48:26.971649,0x43590ff4,101,4.232,7.846667,2.9383056,,,,,5
2025-01-22 16:49:27.028424,0x43590ff4,101,4.226,5.45,2.9716113,,,,,5
2025-01-22 16:50:27.082547,0x43590ff4,101,4.205,8.885,2.9565833,,,,,5
2025-01-22 16:51:04.227615,0x433acb14,101,4.245,5.94,3.4224443,5.0,-95,,3,3
2025-01-22 16:51:27.052447,0x43590ff4,101,4.215,12.015,2.9707222,,,,,5
2025-01-22 16:52:27.164131,0x43590ff4,101,4.211,6.036667,2.9408057,,,,,5
2025-01-22 16:53:27.265307,0x43590ff4,101,4.229,6.271667,2.9317222,,,,,5
2025-01-22 16:54:16.254855,0x433bc2b0,101,4.255,9.691667,2.9545555,-19.25,-126,,3,3
2025-01-22 16:54:27.100454,0x43590ff4,100,4.19,9.418333,2.9504168,,,,,5
