datetime,fromNode,temperature,relativeHumidity,barometricPressure,gasResistance,iaq,windDirection,windSpeed,rxSnr,rxRssi,rxTime,hopStart,hopLimit
2025-01-22 15:35:06.649465,0x433acb14,21.684399,18.377752,1007.54803,12887.828,61,,,4.25,-96,,3,3
2025-01-22 15:35:25.841322,0x433bc2b0,24.07841,17.765015,1010.34906,12887.828,50,,,-18.5,-126,,3,3
2025-01-22 15:36:06.114507,0x433acb14,21.699753,19.555655,1007.5368,12887.828,61,,,4.25,-96,,3,3
2025-01-22 15:37:06.194657,0x433acb14,21.63578,18.85672,1007.5162,12887.828,60,,,5.0,-95,,3,3
2025-01-22 15:38:06.200350,0x433acb14,21.653692,18.867212,1007.5229,12887.828,61,,,4.75,-96,,3,3
2025-01-22 15:38:25.675929,0x433bc2b0,24.116285,16.856325,1010.3238,12887.828,50,,,-19.75,-128,,3,3
2025-01-22 15:39:06.194515,0x433acb14,21.760828,19.256714,1007.6108,12887.828,60,,,2.25,-96,,3,3
2025-01-22 15:40:06.356368,0x433acb14,21.5411,18.661987,1007.53503,12887.828,61,,,4.75,-96,,3,3
2025-01-22 15:41:06.241732,0x433acb14,21.538542,18.50573,1007.5153,12887.828,61,,,4.5,-96,,3,3
2025-01-22 15:41:26.219396,0x433bc2b0,24.255157,17.593235,1010.33075,12887.828,50,,,-18.75,-127,,3,3
2025-01-22 15:42:06.257628,0x433acb14,21.51807,18.469017,1007.52124,12887.828,62,,,4.25,-95,,3,3
2025-01-22 15:43:06.447882,0x433acb14,21.538542,18.957087,1007.51184,12887.828,62,,,4.75,-96,,3,3
2025-01-22 15:44:06.285686,0x433acb14,21.523188,19.751606,1007.5316,12887.828,61,,,4.25,-96,,3,3
2025-01-22 15:44:25.695204,0x433bc2b0,24.045586,17.625938,1010.3242,12887.828,51,,,-17.5,-125,,3,3
2025-01-22 15:45:06.308565,0x433acb14,21.530373,18.385086,1007.52246,12887.828,61,,,6.5,-95,,3,3
2025-01-22 15:46:06.350804,0x433acb14,21.579483,18.822212,1007.52216,12887.828,62,,,4.75,-97,,3,3
2025-01-22 15:47:06.365755,0x433acb14,21.651133,18.90556,1007.5134,12887.828,62,,,4.75,-96,,3,3
2025-01-22 15:47:25.739391,0x433bc2b0,24.33848,16.696735,1010.32184,12887.828,51,,,-18.25,-126,,3,3
2025-01-22 15:48:06.411840,0x433acb14,21.669044,18.037367,1007.532,12887.828,62,,,5.0,-96,,3,3
2025-01-22 15:49:06.452728,0x433acb14,21.837934,18.756071,1007.524,12887.828,62,,,4.5,-96,,3,3
2025-01-22 15:50:06.408871,0x433acb14,21.686958,18.797255,1007.5082,12887.828,61,,,5.5,-95,,3,3
2025-01-22 15:50:26.343485,0x433bc2b0,23.187107,17.002453,1010.3106,12887.828,53,,,-19.0,-127,,3,3
2025-01-22 15:51:06.505664,0x433acb14,21.579483,18.722336,1007.63257,12887.828,61,,,4.25,-96,,3,3
2025-01-22 15:52:07.044987,0x433acb14,21.344063,18.091064,1007.5355,12887.828,62,,,5.5,-95,,3,3
