datetime,fromNode,ch3Voltage,ch3Current,rxSnr,rxRssi,rxTime,hopStart,hopLimit
2025-01-22 15:39:30.957384,0x433acb14,13.135,63.75,4.75,-96,,3,3
2025-01-22 15:40:48.856163,0x433bc2b0,13.01125,62.5,-18.5,-126,,3,3
2025-01-22 15:44:32.382370,0x433acb14,13.135,63.75,5.0,-96,,3,3
2025-01-22 15:49:32.983565,0x433acb14,13.13125,72.5,4.5,-96,,3,3
2025-01-22 15:50:50.921250,0x433bc2b0,13.0025,62.5,-19.0,-126,,3,3
2025-01-22 15:54:33.626379,0x433acb14,13.13,70.0,4.75,-96,,3,3
2025-01-22 15:59:36.112732,0x433acb14,13.13125,72.5,4.0,-96,,3,3
2025-01-22 16:00:55.261697,0x433bc2b0,12.98125,75.0,5.25,-95,,3,2
2025-01-22 16:04:36.581596,0x433acb14,13.13375,61.25,5.25,-95,,3,3
2025-01-22 16:09:37.279464,0x433acb14,13.13375,62.5,5.0,-96,,3,3
2025-01-22 16:10:56.499333,0x433bc2b0,13.015,65.0,6.0,-95,,3,2
2025-01-22 16:14:38.295922,0x433acb14,13.13375,62.5,5.75,-95,,3,3
2025-01-22 16:19:39.645295,0x433acb14,13.12625,72.5,5.25,-95,,3,3
2025-01-22 16:20:57.779071,0x433bc2b0,13.015,67.5,-18.5,-125,,3,3
2025-01-22 16:24:41.865980,0x433acb14,13.135,62.5,4.75,-95,,3,3
2025-01-22 16:29:42.351886,0x433acb14,13.13375,61.25,4.5,-96,,3,3
2025-01-22 16:30:59.589841,0x433bc2b0,12.985,76.25,-20.25,-126,,3,3
2025-01-22 16:34:44.082892,0x433acb14,13.13625,65.0,6.25,-95,,3,3
2025-01-22 16:39:44.678051,0x433acb14,13.12875,75.0,6.0,-96,,3,3
2025-01-22 16:41:02.789603,0x433bc2b0,12.97625,82.5,-20.25,-128,,3,3
2025-01-22 16:44:45.316339,0x433acb14,13.13,72.5,5.75,-95,,3,3
2025-01-22 16:49:46.483981,0x433acb14,13.13375,63.75,6.75,-95,,3,3
2025-01-22 16:51:06.477737,0x433bc2b0,13.0075,62.5,-19.25,-127,,3,3
2025-01-22 16:54:48.137826,0x433acb14,13.13375,63.75,6.25,-95,,3,3
2025-01-22 16:59:48.843859,0x433acb14,13.13375,62.5,4.5,-97,,3,3
2025-01-22 17:01:07.760261,0x433bc2b0,12.9825,75.0,-20.0,-126,,3,3
2025-01-22 17:04:50.760697,0x433acb14,13.1275,73.75,6.0,-96,,3,3
2025-01-22 17:09:51.717537,0x433acb14,13.12875,75.0,4.75,-96,,3,3
