time,stationID,T,RH,PM1P0,PM2P5,PM4P0,w_speed,w_deg
12/18/2024 0:05,aa-87-13-85,10.5,64.6,6,10,14,,
12/18/2024 0:10,aa-87-13-85,10.5,64,6,7,9,3.09,270
12/18/2024 0:15,aa-87-13-85,10.4,63.2,5,11,16,,
12/18/2024 0:20,aa-87-13-85,10.3,63,7,9,14,,
12/18/2024 0:25,aa-87-13-85,10.1,62.9,7,8,11,,
12/18/2024 0:30,aa-87-13-85,10.1,63.6,6,11,15,,
12/18/2024 0:35,aa-87-13-85,10.1,64.5,5,7,11,3.09,270
12/18/2024 0:40,aa-87-13-85,10.2,65.4,3,6,10,,
12/18/2024 0:45,aa-87-13-85,10.5,66.7,3,7,10,,
12/18/2024 0:50,aa-87-13-85,10.8,66.2,3,6,8,2.06,280
12/18/2024 0:55,aa-87-13-85,11.1,65.5,3,5,8,,
12/18/2024 1:00,aa-87-13-85,11.2,64.5,1,4,8,,
12/18/2024 1:05,aa-87-13-85,11.3,62.8,5,6,11,2.57,250
12/18/2024 1:10,aa-87-13-85,11.2,61.5,3,7,10,,
12/18/2024 1:15,aa-87-13-85,11.1,62.2,2,3,4,,
12/18/2024 1:20,aa-87-13-85,11.6,61,3,4,7,2.06,270
12/18/2024 1:25,aa-87-13-85,12,60.2,3,6,9,,
12/18/2024 1:30,aa-87-13-85,12.3,59.6,3,5,8,,
12/18/2024 1:35,aa-87-13-85,12.4,58.6,2,4,7,2.06,270
12/18/2024 1:40,aa-87-13-85,12.4,58.1,4,11,17,,
12/18/2024 1:45,aa-87-13-85,12.4,57.9,1,4,7,,
12/18/2024 1:50,aa-87-13-85,12.2,57.1,3,3,6,0.89,175
12/18/2024 1:55,aa-87-13-85,12.1,57,3,6,8,0.89,175
12/18/2024 2:00,aa-87-13-85,12.1,56.6,2,3,6,,
12/18/2024 2:05,aa-87-13-85,12.1,56.5,3,6,8,,
12/18/2024 2:10,aa-87-13-85,12,56.6,3,4,7,,
12/18/2024 2:15,aa-87-13-85,12,56.3,1,4,7,1.34,167
12/18/2024 2:20,aa-87-13-85,11.9,56.3,1,6,10,,
12/18/2024 2:25,aa-87-13-85,11.9,56.2,1,5,8,,
12/18/2024 2:30,aa-87-13-85,11.8,56.3,3,9,14,1.34,153
12/18/2024 2:35,aa-87-13-85,11.8,56.4,2,6,10,,
12/18/2024 2:40,aa-87-13-85,11.8,56.3,3,9,14,,
12/18/2024 2:45,aa-87-13-85,11.8,56.2,2,3,4,1.79,186
12/18/2024 2:50,aa-87-13-85,11.8,56.1,1,2,4,,
12/18/2024 2:55,aa-87-13-85,11.8,55.9,2,4,7,,
12/18/2024 3:00,aa-87-13-85,11.8,55.9,2,4,7,,
12/18/2024 3:05,aa-87-13-85,11.6,56,1,3,6,1.79,175
12/18/2024 3:10,aa-87-13-85,11.5,56.2,1,4,5,,
12/18/2024 3:15,aa-87-13-85,11.4,56.4,2,6,9,0,0
12/18/2024 3:20,aa-87-13-85,11.4,56.4,2,8,13,,
12/18/2024 3:25,aa-87-13-85,11.2,56.5,2,5,8,,
12/18/2024 3:30,aa-87-13-85,11.1,56.8,1,2,4,,
12/18/2024 3:35,aa-87-13-85,11.1,57,1,3,6,1.79,179
