"DateTime","Average","South Dish - Indoor A","South Dish A","South Dish B"
"2024-12-15 22:10:00",15.9,5
"2024-12-15 22:20:00",,5,8,4
"2024-12-15 22:30:00",,5,8,4
"2024-12-15 22:40:00",,5,9,4
"2024-12-15 22:50:00",,5,19,12
"2024-12-15 23:00:00",,4,7,5
"2024-12-15 23:10:00",,5,9,5
"2024-12-15 23:20:00",,5,16,9
"2024-12-15 23:30:00",,5,27,18
"2024-12-15 23:40:00",,8,33,20
"2024-12-15 23:50:00",,12,54,33
"2024-12-16 00:00:00",,14,62,45
"2024-12-16 00:10:00",,17,62,44
"2024-12-16 00:20:00",,18,51,32
"2024-12-16 00:30:00",,14,25,16
"2024-12-16 00:40:00",,13,21,15
"2024-12-16 00:50:00",,11,18,12
"2024-12-16 01:00:00",,10,14,9
"2024-12-16 01:10:00",,10,11,7
"2024-12-16 01:20:00",,9,16,9
"2024-12-16 01:30:00",,8,20,13
"2024-12-16 01:40:00",,8,24,14
"2024-12-16 01:50:00",,8,13,7
"2024-12-16 02:00:00",,6,11,5
"2024-12-16 02:10:00",,6,10,4
"2024-12-16 02:20:00",,7,14,7
"2024-12-16 02:30:00",,7,19,13
"2024-12-16 02:40:00",,9,24,14
"2024-12-16 02:50:00",,9,26,15
"2024-12-16 03:00:00",,9,23,15
"2024-12-16 03:10:00",,9,24,13
"2024-12-16 03:20:00",,8,22,11
"2024-12-16 03:30:00",,8,21,13
"2024-12-16 03:40:00",,8,20,12
"2024-12-16 03:50:00",,8,17,11
"2024-12-16 04:00:00",,8,11,6
"2024-12-16 04:10:00",,6,10,4
"2024-12-16 04:20:00",,5,9,5
"2024-12-16 04:30:00",,5,8,3
"2024-12-16 04:40:00",,5,11,6
"2024-12-16 04:50:00",,5,12,6
"2024-12-16 05:00:00",,4,8,6
"2024-12-16 05:10:00",,5,9,6
"2024-12-16 05:20:00",,6,12,7
"2024-12-16 05:30:00",,6,18,11
"2024-12-16 05:40:00",,6,19,11
"2024-12-16 05:50:00",,6,14,7
"2024-12-16 06:00:00",,5,10,5
"2024-12-16 06:10:00",,4,9,5
"2024-12-16 06:20:00",,4,9,4
"2024-12-16 06:30:00",,4,7,2
"2024-12-16 06:40:00",,4,9,3
"2024-12-16 06:50:00",,4,14,9
"2024-12-16 07:00:00",,5,12,6
"2024-12-16 07:10:00",,5,18,12
"2024-12-16 07:20:00",,6,24,17
"2024-12-16 07:30:00",,8,22,12
