"DateTime","Average","South Dish A","South Dish B"
"2024-12-16 22:20:00",38.1,3,0
"2024-12-16 22:30:00",,10,6
"2024-12-16 22:40:00",,27,18
"2024-12-16 22:50:00",,38,29
"2024-12-16 23:00:00",,52,36
"2024-12-16 23:10:00",,26,18
"2024-12-16 23:20:00",,13,8
"2024-12-16 23:30:00",,22,13
"2024-12-16 23:40:00",,20,12
"2024-12-16 23:50:00",,28,16
"2024-12-17 00:00:00",,33,21
"2024-12-17 00:10:00",,36,20
"2024-12-17 00:20:00",,42,24
"2024-12-17 00:30:00",,47,30
"2024-12-17 00:40:00",,35,21
"2024-12-17 00:50:00",,33,19
"2024-12-17 01:00:00",,26,16
"2024-12-17 01:10:00",,25,15
"2024-12-17 01:20:00",,21,12
"2024-12-17 01:30:00",,25,15
"2024-12-17 01:40:00",,25,14
"2024-12-17 01:50:00",,32,18
"2024-12-17 02:00:00",,28,17
"2024-12-17 02:10:00",,28,14
"2024-12-17 02:20:00",,31,17
"2024-12-17 02:30:00",,34,19
"2024-12-17 02:40:00",,36,21
"2024-12-17 02:50:00",,43,22
"2024-12-17 03:00:00",,49,28
"2024-12-17 03:10:00",,53,29
"2024-12-17 03:20:00",,59,38
"2024-12-17 03:30:00",,57,37
"2024-12-17 03:40:00",,60,40
"2024-12-17 03:50:00",,63,43
"2024-12-17 04:00:00",,58,37
"2024-12-17 04:10:00",,56,37
"2024-12-17 04:20:00",,62,39
"2024-12-17 04:30:00",,58,38
"2024-12-17 04:40:00",,54,35
"2024-12-17 04:50:00",,59,36
"2024-12-17 05:00:00",,61,39
"2024-12-17 05:10:00",,64,45
"2024-12-17 05:20:00",,61,46
"2024-12-17 05:30:00",,69,48
"2024-12-17 05:40:00",,71,53
"2024-12-17 05:50:00",,67,50
"2024-12-17 06:00:00",,68,51
"2024-12-17 06:10:00",,65,50
"2024-12-17 06:20:00",,57,40
"2024-12-17 06:30:00",,51,32
"2024-12-17 06:40:00",,52,34
"2024-12-17 06:50:00",,55,36
"2024-12-17 07:00:00",,53,34
"2024-12-17 07:10:00",,54,34
"2024-12-17 07:20:00",,49,34
"2024-12-17 07:30:00",,52,33
"2024-12-17 07:40:00",,53,35
"2024-12-17 07:50:00",,55,37
"2024-12-17 08:00:00",,57,39
"2024-12-17 08:10:00",,57,38
"2024-12-17 08:20:00",,54,35
"2024-12-17 08:30:00",,56,37
"2024-12-17 08:40:00",,60,40
"2024-12-17 08:50:00",,60,45
"2024-12-17 09:00:00",,66,47
"2024-12-17 09:10:00",,64,48
"2024-12-17 09:20:00",,65,47
"2024-12-17 09:30:00",,61,44
"2024-12-17 09:40:00",,61,45
"2024-12-17 09:50:00",,62,48
"2024-12-17 10:00:00",,58,43
"2024-12-17 10:10:00",,59,45
"2024-12-17 10:20:00",,59,43
"2024-12-17 10:30:00",,59,45
"2024-12-17 10:40:00",,63,48
"2024-12-17 10:50:00",,60,46
"2024-12-17 11:00:00",,60,45
