"DateTime","Average","South Dish - Indoor A"
"2024-12-17 18:10:00",31.9,13
"2024-12-17 18:20:00",,12
"2024-12-17 18:30:00",,14
"2024-12-17 18:40:00",,14
"2024-12-17 18:50:00",,11
"2024-12-17 19:00:00",,13
"2024-12-17 19:10:00",,12
"2024-12-17 19:20:00",,12
"2024-12-17 19:30:00",,12
"2024-12-17 19:40:00",,13
"2024-12-17 19:50:00",,12
"2024-12-17 20:00:00",,10
"2024-12-17 20:10:00",,11
"2024-12-17 20:20:00",,10
"2024-12-17 20:30:00",,9
"2024-12-17 20:40:00",,10
"2024-12-17 20:50:00",,10
"2024-12-17 21:00:00",,8
"2024-12-17 21:10:00",,8
"2024-12-17 21:20:00",,10
"2024-12-17 21:30:00",,20
"2024-12-17 21:40:00",,23
"2024-12-17 21:50:00",,23
"2024-12-17 22:00:00",,21
"2024-12-17 22:10:00",,19
"2024-12-17 22:20:00",,18
"2024-12-17 22:30:00",,15
"2024-12-17 22:40:00",,10
"2024-12-17 22:50:00",,9
"2024-12-17 23:00:00",,8
"2024-12-17 23:10:00",,8
"2024-12-17 23:20:00",,6
"2024-12-17 23:30:00",,6
"2024-12-17 23:40:00",,6
"2024-12-17 23:50:00",,6
"2024-12-18 00:00:00",,7
"2024-12-18 00:10:00",,6
"2024-12-18 00:20:00",,6
"2024-12-18 00:30:00",,6
"2024-12-18 00:40:00",,6
"2024-12-18 00:50:00",,6
"2024-12-18 01:00:00",,5
"2024-12-18 01:10:00",,6
"2024-12-18 01:20:00",,5
"2024-12-18 01:30:00",,4
"2024-12-18 01:40:00",,5
"2024-12-18 01:50:00",,5
"2024-12-18 02:00:00",,4
"2024-12-18 02:10:00",,5
"2024-12-18 02:20:00",,5
"2024-12-18 02:30:00",,4
"2024-12-18 02:40:00",,3
"2024-12-18 02:50:00",,2
"2024-12-18 03:00:00",,3
"2024-12-18 03:10:00",,3
"2024-12-18 03:20:00",,2
"2024-12-18 03:30:00",,2
"2024-12-18 03:40:00",,2
"2024-12-18 03:50:00",,2
"2024-12-18 04:00:00",,2
"2024-12-18 04:10:00",,1
"2024-12-18 04:20:00",,2
"2024-12-18 04:30:00",,2
"2024-12-18 04:40:00",,1
"2024-12-18 04:50:00",,1
"2024-12-18 05:00:00",,1
"2024-12-18 05:10:00",,1
"2024-12-18 05:20:00",,1
"2024-12-18 05:30:00",,0
"2024-12-18 05:40:00",,0
"2024-12-18 05:50:00",,0
"2024-12-18 06:00:00",,1
"2024-12-18 06:10:00",,0
"2024-12-18 06:20:00",,1
"2024-12-18 06:30:00",,0
"2024-12-18 06:40:00",,1
"2024-12-18 06:50:00",,1
"2024-12-18 07:00:00",,0
"2024-12-18 07:10:00",,1
"2024-12-18 07:20:00",,0
"2024-12-18 07:30:00",,1
"2024-12-18 07:40:00",,0
"2024-12-18 07:50:00",,1
"2024-12-18 08:00:00",,0
"2024-12-18 08:10:00",,0
"2024-12-18 08:20:00",,1
"2024-12-18 08:30:00",,1
"2024-12-18 08:40:00",,1
"2024-12-18 08:50:00",,1
"2024-12-18 09:00:00",,1
"2024-12-18 09:10:00",,2
"2024-12-18 09:20:00",,9
"2024-12-18 09:30:00",,3
"2024-12-18 09:40:00",,6
"2024-12-18 09:50:00",,6
"2024-12-18 10:00:00",,8
"2024-12-18 10:10:00",,7
"2024-12-18 11:30:00",,12
"2024-12-18 11:40:00",,11
"2024-12-18 11:50:00",,11
"2024-12-18 12:00:00",,10
"2024-12-18 12:10:00",,10
"2024-12-18 12:20:00",,9
"2024-12-18 12:30:00",,11
"2024-12-18 12:40:00",,10
"2024-12-18 12:50:00",,10
"2024-12-18 13:00:00",,10
"2024-12-18 13:10:00",,11
"2024-12-18 13:20:00",,12
"2024-12-18 13:30:00",,14
"2024-12-18 13:40:00",,19
"2024-12-18 13:50:00",,20
"2024-12-18 14:00:00",,24
"2024-12-18 14:10:00",,23
"2024-12-18 14:20:00",,28
"2024-12-18 14:30:00",,32
"2024-12-18 14:40:00",,32
"2024-12-18 14:50:00",,33
"2024-12-18 15:00:00",,32
"2024-12-18 15:10:00",,33
"2024-12-18 15:20:00",,32
"2024-12-18 15:30:00",,34
"2024-12-18 15:40:00",,34
"2024-12-18 15:50:00",,31
"2024-12-18 16:00:00",,30
"2024-12-18 16:10:00",,27
"2024-12-18 16:20:00",,27
"2024-12-18 16:30:00",,27
"2024-12-18 16:40:00",,24
"2024-12-18 16:50:00",,26
"2024-12-18 17:00:00",,25
"2024-12-18 17:10:00",,24
"2024-12-18 17:20:00",,24
"2024-12-18 17:30:00",,23
"2024-12-18 17:40:00",,23
"2024-12-18 17:50:00",,22
"2024-12-18 18:00:00",,22
"2024-12-18 18:10:00",,23
"2024-12-18 18:20:00",,21
"2024-12-18 18:30:00",,24
"2024-12-18 18:40:00",,23
"2024-12-18 18:50:00",,25
"2024-12-18 19:00:00",,23
"2024-12-18 19:10:00",,23
"2024-12-18 19:20:00",,21
"2024-12-18 19:30:00",,23
"2024-12-18 19:40:00",,21
"2024-12-18 19:50:00",,21
"2024-12-18 20:00:00",,21
"2024-12-18 20:10:00",,19
"2024-12-18 20:20:00",,18
"2024-12-18 20:30:00",,18
"2024-12-18 20:40:00",,18
"2024-12-18 20:50:00",,16
"2024-12-18 21:00:00",,16
"2024-12-18 21:10:00",,16
"2024-12-18 21:20:00",,15
"2024-12-18 21:30:00",,14
"2024-12-18 21:40:00",,14
"2024-12-18 21:50:00",,13
"2024-12-18 22:00:00",,13
"2024-12-18 22:10:00",,13
"2024-12-18 22:20:00",,12
"2024-12-18 22:30:00",,11
"2024-12-18 22:40:00",,13
"2024-12-18 22:50:00",,12
"2024-12-18 23:00:00",,12
"2024-12-18 23:10:00",,10
"2024-12-18 23:20:00",,11
"2024-12-18 23:30:00",,9
"2024-12-18 23:40:00",,11
"2024-12-18 23:50:00",,9
"2024-12-19 00:00:00",,9
"2024-12-19 00:10:00",,9
"2024-12-19 00:20:00",,8
"2024-12-19 00:30:00",,8
"2024-12-19 00:40:00",,9
"2024-12-19 00:50:00",,8
"2024-12-19 01:00:00",,8
"2024-12-19 01:10:00",,7
"2024-12-19 01:20:00",,7
"2024-12-19 01:30:00",,7
"2024-12-19 01:40:00",,7
"2024-12-19 01:50:00",,6
"2024-12-19 02:00:00",,8
"2024-12-19 02:10:00",,7
"2024-12-19 02:20:00",,7
"2024-12-19 02:30:00",,7
"2024-12-19 02:40:00",,7
"2024-12-19 02:50:00",,7
"2024-12-19 03:00:00",,7
"2024-12-19 03:10:00",,7
"2024-12-19 03:20:00",,6
"2024-12-19 03:30:00",,7
"2024-12-19 03:40:00",,6
"2024-12-19 03:50:00",,6
"2024-12-19 04:00:00",,6
"2024-12-19 04:10:00",,7
"2024-12-19 04:20:00",,9
"2024-12-19 04:30:00",,7
"2024-12-19 04:40:00",,10
"2024-12-19 04:50:00",,9
"2024-12-19 05:00:00",,10
"2024-12-19 05:10:00",,10
"2024-12-19 05:20:00",,12
"2024-12-19 05:30:00",,11
"2024-12-19 05:40:00",,13
"2024-12-19 05:50:00",,14
"2024-12-19 06:00:00",,14
"2024-12-19 06:10:00",,15
"2024-12-19 06:20:00",,15
"2024-12-19 06:30:00",,18
"2024-12-19 06:40:00",,20
"2024-12-19 06:50:00",,26
"2024-12-19 07:00:00",,28
"2024-12-19 07:10:00",,29
"2024-12-19 07:20:00",,27
"2024-12-19 07:30:00",,26
"2024-12-19 07:40:00",,27
"2024-12-19 07:50:00",,24
"2024-12-19 08:00:00",,28
"2024-12-19 08:10:00",,33
"2024-12-19 08:20:00",,29
"2024-12-19 08:30:00",,29
"2024-12-19 08:40:00",,29
"2024-12-19 08:50:00",,29
"2024-12-19 09:00:00",,35
"2024-12-19 09:10:00",,35
"2024-12-19 09:20:00",,44
"2024-12-19 09:30:00",,47
"2024-12-19 09:40:00",,52
"2024-12-19 09:50:00",,47
"2024-12-19 10:00:00",,47
"2024-12-19 10:10:00",,50
"2024-12-19 10:20:00",,47
"2024-12-19 10:30:00",,50
"2024-12-19 10:40:00",,49
"2024-12-19 10:50:00",,50
"2024-12-19 11:00:00",,50
"2024-12-19 11:10:00",,52
"2024-12-19 11:20:00",,52
"2024-12-19 11:30:00",,50
"2024-12-19 11:40:00",,48
"2024-12-19 11:50:00",,46
"2024-12-19 12:00:00",,44
"2024-12-19 12:10:00",,43
"2024-12-19 12:20:00",,45
"2024-12-19 12:30:00",,45
"2024-12-19 12:40:00",,39
"2024-12-19 12:50:00",,35
"2024-12-19 13:00:00",,37
"2024-12-19 13:10:00",,42
"2024-12-19 13:20:00",,38
"2024-12-19 13:30:00",,36
"2024-12-19 13:40:00",,41
"2024-12-19 13:50:00",,43
"2024-12-19 14:00:00",,43
