"DateTime","Average","Pepperwood Preserve A","Pepperwood Preserve B"
"2024-11-07 08:00:00",31.7,0,1
"2024-11-07 08:10:00",,1,1
"2024-11-07 08:20:00",,1,1
"2024-11-07 08:30:00",,0,1
"2024-11-07 08:40:00",,1,1
"2024-11-07 08:50:00",,2,1
"2024-11-07 09:00:00",,1,2
"2024-11-07 09:10:00",,1,0
"2024-11-07 09:20:00",,2,2
"2024-11-07 09:30:00",,1,1
"2024-11-07 09:40:00",,3,2
"2024-11-07 09:50:00",,2,2
"2024-11-07 10:00:00",,2,2
"2024-11-07 10:10:00",,2,1
"2024-11-07 10:20:00",,2,2
"2024-11-07 10:30:00",,2,1
"2024-11-07 10:40:00",,1,1
"2024-11-07 10:50:00",,1,2
"2024-11-07 11:00:00",,1,2
"2024-11-07 11:10:00",,1,1
"2024-11-07 11:20:00",,2,2
"2024-11-07 11:30:00",,3,2
"2024-11-07 11:40:00",,3,2
"2024-11-07 11:50:00",,2,3
"2024-11-07 12:00:00",,3,1
"2024-11-07 12:10:00",,4,4
"2024-11-07 12:20:00",,4,3
"2024-11-07 12:30:00",,4,4
"2024-11-07 12:40:00",,4,3
"2024-11-07 12:50:00",,3,4
"2024-11-07 13:00:00",,4,3
"2024-11-07 13:10:00",,3,3
"2024-11-07 13:20:00",,3,3
"2024-11-07 13:30:00",,3,2
"2024-11-07 13:40:00",,3,2
"2024-11-07 13:50:00",,3,1
"2024-11-07 14:00:00",,2,2
"2024-11-07 14:10:00",,3,3
"2024-11-07 14:20:00",,3,2
"2024-11-07 14:30:00",,3,3
"2024-11-07 14:40:00",,3,3
"2024-11-07 14:50:00",,3,2
"2024-11-07 15:00:00",,3,2
"2024-11-07 15:10:00",,2,3
"2024-11-07 15:20:00",,3,3
"2024-11-07 15:30:00",,3,3
"2024-11-07 15:40:00",,4,2
"2024-11-07 15:50:00",,3,2
"2024-11-07 16:00:00",,3,3
"2024-11-07 16:10:00",,4,2
"2024-11-07 16:20:00",,3,4
"2024-11-07 16:30:00",,5,3
"2024-11-07 16:40:00",,3,3
"2024-11-07 16:50:00",,3,3
"2024-11-07 17:00:00",,3,2
"2024-11-07 17:10:00",,3,3
"2024-11-07 17:20:00",,3,2
"2024-11-07 17:30:00",,3,2
"2024-11-07 17:40:00",,3,3
"2024-11-07 17:50:00",,3,3
"2024-11-07 18:00:00",,4,3
"2024-11-07 18:10:00",,4,3
"2024-11-07 18:20:00",,4,2
"2024-11-07 18:30:00",,4,4
"2024-11-07 18:40:00",,2,3
"2024-11-07 18:50:00",,2,2
"2024-11-07 19:00:00",,2,2
"2024-11-07 19:10:00",,2,2
"2024-11-07 19:20:00",,3,3
"2024-11-07 19:30:00",,2,2
"2024-11-07 19:40:00",,3,4
"2024-11-07 19:50:00",,3,3
"2024-11-07 20:00:00",,2,2
"2024-11-07 20:10:00",,3,4
"2024-11-07 20:20:00",,3,3
"2024-11-07 20:30:00",,4,3
"2024-11-07 20:40:00",,4,3
"2024-11-07 20:50:00",,4,3
"2024-11-07 21:00:00",,4,3
"2024-11-07 21:10:00",,3,4
"2024-11-07 21:20:00",,3,4
"2024-11-07 21:30:00",,4,3
"2024-11-07 21:40:00",,3,3
"2024-11-07 21:50:00",,4,3
"2024-11-07 22:00:00",,4,3
"2024-11-07 22:10:00",,4,3
"2024-11-07 22:20:00",,3,2
"2024-11-07 22:30:00",,4,3
"2024-11-07 22:40:00",,3,3
"2024-11-07 22:50:00",,3,3
"2024-11-07 23:00:00",,3,3
"2024-11-07 23:10:00",,3,3
"2024-11-07 23:20:00",,4,3
"2024-11-07 23:30:00",,3,3
"2024-11-07 23:40:00",,4,3
"2024-11-07 23:50:00",,3,3
"2024-11-08 00:00:00",,4,3
"2024-11-08 00:10:00",,3,4
"2024-11-08 00:20:00",,4,3
"2024-11-08 00:30:00",,8,7
"2024-11-08 00:40:00",,19,17
"2024-11-08 00:50:00",,23,23
"2024-11-08 01:00:00",,31,29
"2024-11-08 01:10:00",,19,19
"2024-11-08 01:20:00",,16,13
"2024-11-08 01:30:00",,19,17
"2024-11-08 01:40:00",,16,13
"2024-11-08 01:50:00",,11,9
"2024-11-08 02:00:00",,9,8
"2024-11-08 02:10:00",,8,8
"2024-11-08 02:20:00",,9,8
"2024-11-08 02:30:00",,8,9
"2024-11-08 02:40:00",,9,7
"2024-11-08 02:50:00",,9,9
"2024-11-08 03:00:00",,8,8
"2024-11-08 03:10:00",,8,8
"2024-11-08 03:20:00",,11,10
"2024-11-08 03:30:00",,8,7
"2024-11-08 03:40:00",,9,8
"2024-11-08 03:50:00",,10,9
"2024-11-08 04:00:00",,9,9
"2024-11-08 04:10:00",,7,7
"2024-11-08 04:20:00",,7,7
"2024-11-08 04:30:00",,6,6
"2024-11-08 04:40:00",,5,6
"2024-11-08 04:50:00",,5,5
"2024-11-08 05:00:00",,6,5
"2024-11-08 05:10:00",,5,4
"2024-11-08 05:20:00",,4,5
"2024-11-08 05:30:00",,4,5
"2024-11-08 05:40:00",,5,4
"2024-11-08 05:50:00",,4,4
"2024-11-08 06:00:00",,5,6
"2024-11-08 06:10:00",,4,5
"2024-11-08 06:20:00",,4,5
"2024-11-08 06:30:00",,5,4
"2024-11-08 06:40:00",,5,5
"2024-11-08 06:50:00",,5,6
"2024-11-08 07:00:00",,5,5
"2024-11-08 07:10:00",,6,6
"2024-11-08 07:20:00",,7,6
"2024-11-08 07:30:00",,7,7
"2024-11-08 07:40:00",,5,5
"2024-11-08 07:50:00",,5,5
"2024-11-08 08:00:00",,6,6
"2024-11-08 08:10:00",,7,6
"2024-11-08 08:20:00",,8,6
"2024-11-08 08:30:00",,8,7
"2024-11-08 08:40:00",,8,7
"2024-11-08 08:50:00",,10,7
"2024-11-08 09:00:00",,11,9
"2024-11-08 09:10:00",,10,9
"2024-11-08 09:20:00",,10,9
"2024-11-08 09:30:00",,11,11
"2024-11-08 09:40:00",,13,10
