"DateTime","Average","Pepperwood Preserve A","Pepperwood Preserve B"
"2024-11-09 09:50:00",29.5,76,72
"2024-11-09 10:00:00",,80,73
"2024-11-09 10:10:00",,78,72
"2024-11-09 10:20:00",,76,69
"2024-11-09 10:30:00",,67,63
"2024-11-09 10:40:00",,63,60
"2024-11-09 10:50:00",,65,60
"2024-11-09 11:00:00",,67,62
"2024-11-09 11:10:00",,65,61
"2024-11-09 11:20:00",,67,62
"2024-11-09 11:30:00",,65,61
"2024-11-09 11:40:00",,68,63
"2024-11-09 11:50:00",,68,64
"2024-11-09 12:00:00",,74,65
"2024-11-09 12:10:00",,74,68
"2024-11-09 12:20:00",,72,66
"2024-11-09 12:30:00",,70,64
"2024-11-09 12:40:00",,64,61
"2024-11-09 12:50:00",,65,60
"2024-11-09 13:00:00",,63,59
"2024-11-09 13:10:00",,62,57
"2024-11-09 13:20:00",,60,54
"2024-11-09 13:30:00",,50,44
"2024-11-09 13:40:00",,54,52
"2024-11-09 13:50:00",,45,41
"2024-11-09 14:00:00",,53,48
"2024-11-09 14:10:00",,54,50
"2024-11-09 14:20:00",,52,47
"2024-11-09 14:30:00",,51,44
"2024-11-09 14:40:00",,58,52
"2024-11-09 14:50:00",,56,52
"2024-11-09 15:00:00",,54,47
"2024-11-09 15:10:00",,51,45
"2024-11-09 15:20:00",,50,42
"2024-11-09 15:30:00",,47,40
"2024-11-09 15:40:00",,42,37
"2024-11-09 15:50:00",,42,37
"2024-11-09 16:00:00",,41,36
"2024-11-09 16:10:00",,42,35
"2024-11-09 16:20:00",,47,44
"2024-11-09 16:30:00",,44,37
"2024-11-09 16:40:00",,43,37
"2024-11-09 16:50:00",,41,36
"2024-11-09 17:00:00",,40,37
"2024-11-09 17:10:00",,44,38
"2024-11-09 17:20:00",,40,38
"2024-11-09 17:30:00",,38,35
"2024-11-09 17:40:00",,38,34
"2024-11-09 17:50:00",,38,32
"2024-11-09 18:00:00",,39,34
"2024-11-09 18:10:00",,42,35
"2024-11-09 18:20:00",,40,34
"2024-11-09 18:30:00",,43,37
"2024-11-09 18:40:00",,44,38
"2024-11-09 18:50:00",,39,32
"2024-11-09 19:00:00",,31,28
"2024-11-09 19:10:00",,28,25
"2024-11-09 19:20:00",,29,27
"2024-11-09 19:30:00",,29,26
"2024-11-09 19:40:00",,28,26
"2024-11-09 19:50:00",,31,26
"2024-11-09 20:00:00",,32,27
"2024-11-09 20:10:00",,34,32
"2024-11-09 20:20:00",,43,38
"2024-11-09 20:30:00",,58,56
"2024-11-09 20:40:00",,53,52
"2024-11-09 20:50:00",,52,49
"2024-11-09 21:00:00",,58,55
"2024-11-09 21:10:00",,55,53
"2024-11-09 21:20:00",,53,50
"2024-11-09 21:30:00",,52,50
"2024-11-09 21:40:00",,51,47
"2024-11-09 21:50:00",,41,38
"2024-11-09 22:00:00",,56,52
"2024-11-09 22:10:00",,57,53
"2024-11-09 22:20:00",,52,50
"2024-11-09 22:30:00",,50,47
"2024-11-09 22:40:00",,47,45
"2024-11-09 22:50:00",,39,37
"2024-11-09 23:00:00",,32,28
"2024-11-09 23:10:00",,28,26
"2024-11-09 23:20:00",,27,24
"2024-11-09 23:30:00",,24,22
"2024-11-09 23:40:00",,26,24
"2024-11-09 23:50:00",,41,39
"2024-11-10 00:00:00",,44,45
"2024-11-10 00:10:00",,53,53
"2024-11-10 00:20:00",,60,57
"2024-11-10 00:30:00",,63,60
"2024-11-10 00:40:00",,61,59
"2024-11-10 00:50:00",,60,59
"2024-11-10 01:00:00",,57,55
"2024-11-10 01:10:00",,55,54
"2024-11-10 01:20:00",,53,49
"2024-11-10 01:30:00",,55,52
"2024-11-10 01:40:00",,57,52
"2024-11-10 01:50:00",,51,45
"2024-11-10 02:00:00",,54,51
"2024-11-10 02:10:00",,55,52
"2024-11-10 02:20:00",,52,46
"2024-11-10 02:30:00",,34,32
"2024-11-10 02:40:00",,40,38
"2024-11-10 02:50:00",,46,45
"2024-11-10 03:00:00",,46,44
"2024-11-10 03:10:00",,47,46
"2024-11-10 03:20:00",,45,43
"2024-11-10 03:30:00",,45,44
"2024-11-10 03:40:00",,47,43
"2024-11-10 03:50:00",,48,43
"2024-11-10 04:00:00",,44,42
"2024-11-10 04:10:00",,37,37
"2024-11-10 04:20:00",,41,40
"2024-11-10 04:30:00",,46,45
"2024-11-10 04:40:00",,47,45
"2024-11-10 04:50:00",,47,44
"2024-11-10 05:00:00",,50,44
"2024-11-10 05:10:00",,46,43
"2024-11-10 05:20:00",,45,41
"2024-11-10 05:30:00",,43,40
"2024-11-10 05:40:00",,44,39
"2024-11-10 05:50:00",,41,38
"2024-11-10 06:00:00",,43,39
"2024-11-10 06:10:00",,43,40
"2024-11-10 06:20:00",,41,39
"2024-11-10 06:30:00",,42,40
"2024-11-10 06:40:00",,43,42
"2024-11-10 06:50:00",,48,43
"2024-11-10 07:00:00",,52,49
"2024-11-10 07:10:00",,55,49
"2024-11-10 07:20:00",,54,52
"2024-11-10 07:30:00",,53,48
"2024-11-10 07:40:00",,57,55
"2024-11-10 07:50:00",,57,55
"2024-11-10 08:00:00",,58,56
"2024-11-10 08:10:00",,53,50
"2024-11-10 08:20:00",,44,42
"2024-11-10 08:30:00",,47,46
"2024-11-10 08:40:00",,57,53
"2024-11-10 08:50:00",,62,57
"2024-11-10 09:00:00",,42,38
"2024-11-10 09:10:00",,45,38
"2024-11-10 09:20:00",,45,45
"2024-11-10 09:30:00",,47,42
"2024-11-10 09:40:00",,48,46
"2024-11-10 09:50:00",,49,45
"2024-11-10 10:00:00",,53,46
"2024-11-10 10:10:00",,53,47
"2024-11-10 10:20:00",,53,44
"2024-11-10 10:30:00",,52,45
"2024-11-10 10:40:00",,52,47
"2024-11-10 10:50:00",,59,54
"2024-11-10 11:00:00",,67,58
"2024-11-10 11:10:00",,62,58
"2024-11-10 11:20:00",,59,55
"2024-11-10 11:30:00",,58,54
"2024-11-10 11:40:00",,56,48
"2024-11-10 11:50:00",,56,51
"2024-11-10 12:00:00",,56,52
"2024-11-10 12:10:00",,56,53
"2024-11-10 12:20:00",,58,52
"2024-11-10 12:30:00",,58,53
"2024-11-10 12:40:00",,60,55
"2024-11-10 12:50:00",,61,53
"2024-11-10 13:00:00",,62,56
"2024-11-10 13:10:00",,62,57
"2024-11-10 13:20:00",,63,57
"2024-11-10 13:30:00",,63,57
"2024-11-10 13:40:00",,68,62
"2024-11-10 13:50:00",,69,61
"2024-11-10 14:00:00",,70,62
"2024-11-10 14:10:00",,67,60
"2024-11-10 14:20:00",,70,60
"2024-11-10 14:30:00",,69,63
"2024-11-10 14:40:00",,67,60
"2024-11-10 14:50:00",,66,60
"2024-11-10 15:00:00",,69,60
"2024-11-10 15:10:00",,67,61
"2024-11-10 15:20:00",,71,62
"2024-11-10 15:30:00",,66,59
"2024-11-10 15:40:00",,64,57
"2024-11-10 15:50:00",,60,53
"2024-11-10 16:00:00",,55,49
"2024-11-10 16:10:00",,45,40
"2024-11-10 16:20:00",,38,31
"2024-11-10 16:30:00",,28,24
"2024-11-10 16:40:00",,25,22
"2024-11-10 16:50:00",,22,19
"2024-11-10 17:00:00",,21,17
"2024-11-10 17:10:00",,18,16
"2024-11-10 17:20:00",,16,13
"2024-11-10 17:30:00",,17,14
"2024-11-10 17:40:00",,16,13
"2024-11-10 17:50:00",,15,14
"2024-11-10 18:00:00",,14,13
"2024-11-10 18:10:00",,13,13
"2024-11-10 18:20:00",,16,14
"2024-11-10 18:30:00",,15,14
"2024-11-10 18:40:00",,16,16
"2024-11-10 18:50:00",,17,17
"2024-11-10 19:00:00",,17,17
"2024-11-10 19:10:00",,16,14
"2024-11-10 19:20:00",,16,15
