"DateTime","Average","Pepperwood Preserve A","Pepperwood Preserve B"
"2024-11-12 09:10:00",9.9,1,2
"2024-11-12 09:20:00",,2,3
"2024-11-12 09:30:00",,1,2
"2024-11-12 09:40:00",,2,2
"2024-11-12 09:50:00",,2,3
"2024-11-12 10:00:00",,2,2
"2024-11-12 10:10:00",,2,2
"2024-11-12 10:20:00",,2,2
"2024-11-12 10:30:00",,1,3
"2024-11-12 10:40:00",,2,2
"2024-11-12 10:50:00",,2,2
"2024-11-12 11:00:00",,1,1
"2024-11-12 11:10:00",,1,2
"2024-11-12 11:20:00",,2,2
"2024-11-12 11:30:00",,3,2
"2024-11-12 11:40:00",,2,2
"2024-11-12 11:50:00",,2,3
"2024-11-12 12:00:00",,2,2
"2024-11-12 12:10:00",,2,2
"2024-11-12 12:20:00",,3,3
"2024-11-12 12:30:00",,3,4
"2024-11-12 12:40:00",,3,4
"2024-11-12 12:50:00",,4,3
"2024-11-12 13:00:00",,4,4
"2024-11-12 13:10:00",,4,4
"2024-11-12 13:20:00",,3,4
"2024-11-12 13:30:00",,3,3
"2024-11-12 13:40:00",,4,3
"2024-11-12 13:50:00",,3,3
"2024-11-12 14:00:00",,2,5
"2024-11-12 14:10:00",,2,3
"2024-11-12 14:20:00",,4,4
"2024-11-12 14:30:00",,3,4
"2024-11-12 14:40:00",,3,4
"2024-11-12 14:50:00",,3,4
"2024-11-12 15:00:00",,2,2
"2024-11-12 15:10:00",,1,1
"2024-11-12 15:20:00",,2,1
"2024-11-12 15:30:00",,1,2
"2024-11-12 15:40:00",,1,2
"2024-11-12 15:50:00",,1,1
"2024-11-12 16:00:00",,0,1
"2024-11-12 16:10:00",,1,1
"2024-11-12 16:20:00",,1,1
"2024-11-12 16:30:00",,0,1
"2024-11-12 16:40:00",,0,1
"2024-11-12 16:50:00",,0,1
"2024-11-12 17:00:00",,0,1
"2024-11-12 17:10:00",,2,3
"2024-11-12 17:20:00",,4,4
"2024-11-12 17:30:00",,7,8
"2024-11-12 17:40:00",,8,8
"2024-11-12 17:50:00",,7,8
"2024-11-12 18:00:00",,9,7
"2024-11-12 18:10:00",,10,11
"2024-11-12 18:20:00",,9,9
"2024-11-12 18:30:00",,10,9
"2024-11-12 18:40:00",,8,9
"2024-11-12 18:50:00",,9,11
"2024-11-12 19:00:00",,10,11
"2024-11-12 19:10:00",,10,11
"2024-11-12 19:20:00",,12,12
"2024-11-12 19:30:00",,11,12
"2024-11-12 19:40:00",,13,13
"2024-11-12 19:50:00",,12,12
"2024-11-12 20:00:00",,10,12
"2024-11-12 20:10:00",,11,11
"2024-11-12 20:20:00",,9,11
"2024-11-12 20:30:00",,9,10
"2024-11-12 20:40:00",,8,10
"2024-11-12 20:50:00",,9,8
"2024-11-12 21:00:00",,8,8
"2024-11-12 21:10:00",,6,9
"2024-11-12 21:20:00",,6,8
"2024-11-12 21:30:00",,7,10
"2024-11-12 21:40:00",,7,7
"2024-11-12 21:50:00",,6,7
"2024-11-12 22:00:00",,6,7
"2024-11-12 22:10:00",,6,7
"2024-11-12 22:20:00",,5,8
"2024-11-12 22:30:00",,7,7
"2024-11-12 22:40:00",,7,6
"2024-11-12 22:50:00",,5,5
"2024-11-12 23:00:00",,4,5
"2024-11-12 23:10:00",,4,5
"2024-11-12 23:20:00",,5,5
"2024-11-12 23:30:00",,4,7
"2024-11-12 23:40:00",,3,5
"2024-11-12 23:50:00",,3,5
"2024-11-13 00:00:00",,4,5
"2024-11-13 00:10:00",,3,6
"2024-11-13 00:20:00",,2,4
"2024-11-13 00:30:00",,3,4
"2024-11-13 00:40:00",,2,3
"2024-11-13 00:50:00",,2,3
"2024-11-13 01:00:00",,2,3
"2024-11-13 01:10:00",,2,4
"2024-11-13 01:20:00",,3,5
"2024-11-13 01:30:00",,3,4
"2024-11-13 01:40:00",,2,4
"2024-11-13 01:50:00",,2,3
"2024-11-13 02:00:00",,3,4
"2024-11-13 02:10:00",,2,4
"2024-11-13 02:20:00",,4,3
"2024-11-13 02:30:00",,4,5
"2024-11-13 02:40:00",,4,5
